 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\19F_in_CD2.txt

 Ion = Fluorine [9] , Mass = 19 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.500E+03  3.208E+00    7.02 um     2371 A      2743 A   
   7.00 MeV   1.507E+03  3.015E+00    7.35 um     2423 A      2771 A   
   8.00 MeV   1.510E+03  2.694E+00    8.01 um     2608 A      2824 A   
   9.00 MeV   1.502E+03  2.439E+00    8.67 um     2781 A      2872 A   
  10.00 MeV   1.487E+03  2.231E+00    9.34 um     2946 A      2918 A   
  11.00 MeV   1.467E+03  2.057E+00   10.02 um     3105 A      2961 A   
  12.00 MeV   1.445E+03  1.910E+00   10.70 um     3261 A      3003 A   
  13.00 MeV   1.421E+03  1.784E+00   11.40 um     3414 A      3044 A   
  14.00 MeV   1.397E+03  1.674E+00   12.11 um     3565 A      3085 A   
  15.00 MeV   1.372E+03  1.578E+00   12.83 um     3715 A      3124 A   
  16.00 MeV   1.347E+03  1.493E+00   13.56 um     3865 A      3164 A   
  17.00 MeV   1.322E+03  1.417E+00   14.31 um     4014 A      3203 A   
  18.00 MeV   1.298E+03  1.349E+00   15.07 um     4162 A      3242 A   
  20.00 MeV   1.252E+03  1.232E+00   16.64 um     4728 A      3322 A   
  22.50 MeV   1.198E+03  1.113E+00   18.68 um     5552 A      3422 A   
  25.00 MeV   1.148E+03  1.015E+00   20.81 um     6329 A      3525 A   
  27.50 MeV   1.103E+03  9.347E-01   23.03 um     7077 A      3632 A   
  30.00 MeV   1.061E+03  8.665E-01   25.34 um     7807 A      3742 A   
  32.50 MeV   1.022E+03  8.081E-01   27.74 um     8524 A      3856 A   
  35.00 MeV   9.868E+02  7.575E-01   30.23 um     9232 A      3974 A   
  37.50 MeV   9.541E+02  7.132E-01   32.80 um     9936 A      4097 A   
  40.00 MeV   9.343E+02  6.740E-01   35.45 um     1.06 um     4223 A   
  45.00 MeV   8.942E+02  6.079E-01   40.92 um     1.32 um     4485 A   
  50.00 MeV   8.455E+02  5.541E-01   46.67 um     1.55 um     4762 A   
  55.00 MeV   8.021E+02  5.096E-01   52.73 um     1.77 um     5055 A   
  60.00 MeV   7.638E+02  4.720E-01   59.12 um     1.99 um     5365 A   
  65.00 MeV   7.296E+02  4.398E-01   65.82 um     2.21 um     5690 A   
  70.00 MeV   6.986E+02  4.119E-01   72.82 um     2.42 um     6032 A   
  80.00 MeV   6.447E+02  3.660E-01   87.71 um     3.21 um     6763 A   
  90.00 MeV   5.989E+02  3.297E-01  103.80 um     3.94 um     7554 A   
 100.00 MeV   5.594E+02  3.002E-01  121.08 um     4.64 um     8406 A   
 110.00 MeV   5.247E+02  2.758E-01  139.53 um     5.33 um     9315 A   
 120.00 MeV   4.939E+02  2.553E-01  159.17 um     6.01 um     1.03 um  
 130.00 MeV   4.664E+02  2.377E-01  180.01 um     6.70 um     1.13 um  
 140.00 MeV   4.416E+02  2.225E-01  202.04 um     7.39 um     1.24 um  
 150.00 MeV   4.192E+02  2.092E-01  225.28 um     8.10 um     1.35 um  
 160.00 MeV   3.988E+02  1.975E-01  249.73 um     8.81 um     1.47 um  
 170.00 MeV   3.801E+02  1.870E-01  275.41 um     9.53 um     1.60 um  
 180.00 MeV   3.631E+02  1.777E-01  302.32 um    10.27 um     1.73 um  
 200.00 MeV   3.330E+02  1.617E-01  359.84 um    13.11 um     2.01 um  
 225.00 MeV   3.015E+02  1.455E-01  438.75 um    17.23 um     2.39 um  
 250.00 MeV   2.755E+02  1.323E-01  525.49 um    21.17 um     2.81 um  
 275.00 MeV   2.537E+02  1.214E-01  620.05 um    25.05 um     3.27 um  
 300.00 MeV   2.354E+02  1.123E-01  722.34 um    28.95 um     3.77 um  
 325.00 MeV   2.198E+02  1.045E-01  832.24 um    32.87 um     4.30 um  
 350.00 MeV   2.065E+02  9.772E-02  949.56 um    36.84 um     4.86 um  
 375.00 MeV   1.950E+02  9.182E-02    1.07 mm    40.85 um     5.47 um  
 400.00 MeV   1.850E+02  8.662E-02    1.21 mm    44.91 um     6.10 um  
 450.00 MeV   1.685E+02  7.786E-02    1.49 mm    60.22 um     7.46 um  
 500.00 MeV   1.554E+02  7.078E-02    1.80 mm    74.45 um     8.95 um  
 550.00 MeV   1.445E+02  6.492E-02    2.13 mm    88.19 um    10.55 um  
 600.00 MeV   1.348E+02  5.999E-02    2.49 mm   101.75 um    12.26 um  
 650.00 MeV   1.263E+02  5.579E-02    2.87 mm   115.34 um    14.08 um  
 700.00 MeV   1.188E+02  5.215E-02    3.28 mm   129.03 um    16.01 um  
 800.00 MeV   1.066E+02  4.619E-02    4.17 mm   180.27 um    20.21 um  
 900.00 MeV   9.684E+01  4.149E-02    5.15 mm   227.90 um    24.82 um  
   1.00 GeV   8.894E+01  3.769E-02    6.23 mm   274.29 um    29.85 um  
   1.10 GeV   8.239E+01  3.456E-02    7.40 mm   320.34 um    35.27 um  
   1.20 GeV   7.686E+01  3.192E-02    8.66 mm   366.48 um    41.09 um  
   1.30 GeV   7.214E+01  2.967E-02   10.00 mm   412.93 um    47.27 um  
   1.40 GeV   6.805E+01  2.772E-02   11.43 mm   459.78 um    53.82 um  
   1.50 GeV   6.447E+01  2.603E-02   12.94 mm   507.10 um    60.72 um  
   1.60 GeV   6.132E+01  2.454E-02   14.53 mm   554.92 um    67.97 um  
   1.70 GeV   5.852E+01  2.321E-02   16.20 mm   603.23 um    75.54 um  
   1.80 GeV   5.602E+01  2.203E-02   17.94 mm   652.03 um    83.45 um  
   2.00 GeV   5.172E+01  2.000E-02   21.66 mm   837.87 um   100.19 um  
   2.25 GeV   4.738E+01  1.795E-02   26.71 mm     1.10 mm   122.81 um  
   2.50 GeV   4.387E+01  1.630E-02   32.19 mm     1.35 mm   147.17 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0573E-02                 eV / (1E15 atoms/cm2)
  1.4086E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
