 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\20F_in_CD2.txt

 Ion = Fluorine [9] , Mass = 20 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  50.00 keV   1.669E+02  1.046E+02    1849 A       382 A       315 A   
  55.00 keV   1.731E+02  9.997E+01    2019 A       406 A       340 A   
  60.00 keV   1.768E+02  9.582E+01    2190 A       429 A       364 A   
  65.00 keV   1.792E+02  9.206E+01    2362 A       451 A       387 A   
  70.00 keV   1.810E+02  8.864E+01    2536 A       473 A       410 A   
  80.00 keV   1.845E+02  8.261E+01    2887 A       517 A       455 A   
  90.00 keV   1.887E+02  7.747E+01    3241 A       558 A       498 A   
 100.00 keV   1.941E+02  7.303E+01    3597 A       598 A       541 A   
 110.00 keV   2.005E+02  6.914E+01    3952 A       635 A       582 A   
 120.00 keV   2.078E+02  6.570E+01    4303 A       671 A       622 A   
 130.00 keV   2.157E+02  6.264E+01    4649 A       704 A       661 A   
 140.00 keV   2.241E+02  5.990E+01    4990 A       735 A       699 A   
 150.00 keV   2.328E+02  5.741E+01    5324 A       764 A       735 A   
 160.00 keV   2.416E+02  5.516E+01    5651 A       791 A       770 A   
 170.00 keV   2.505E+02  5.310E+01    5972 A       817 A       804 A   
 180.00 keV   2.592E+02  5.121E+01    6286 A       840 A       836 A   
 200.00 keV   2.762E+02  4.786E+01    6895 A       886 A       896 A   
 225.00 keV   2.961E+02  4.431E+01    7624 A       937 A       966 A   
 250.00 keV   3.144E+02  4.131E+01    8322 A       981 A      1029 A   
 275.00 keV   3.312E+02  3.874E+01    8992 A      1020 A      1087 A   
 300.00 keV   3.466E+02  3.651E+01    9640 A      1055 A      1140 A   
 325.00 keV   3.608E+02  3.455E+01    1.03 um     1087 A      1190 A   
 350.00 keV   3.741E+02  3.282E+01    1.09 um     1116 A      1236 A   
 375.00 keV   3.866E+02  3.127E+01    1.15 um     1143 A      1279 A   
 400.00 keV   3.984E+02  2.987E+01    1.21 um     1168 A      1320 A   
 450.00 keV   4.204E+02  2.747E+01    1.32 um     1217 A      1394 A   
 500.00 keV   4.407E+02  2.546E+01    1.42 um     1260 A      1461 A   
 550.00 keV   4.597E+02  2.375E+01    1.53 um     1298 A      1521 A   
 600.00 keV   4.777E+02  2.228E+01    1.63 um     1333 A      1577 A   
 650.00 keV   4.949E+02  2.100E+01    1.73 um     1364 A      1628 A   
 700.00 keV   5.116E+02  1.987E+01    1.82 um     1392 A      1675 A   
 800.00 keV   5.437E+02  1.798E+01    2.00 um     1453 A      1760 A   
 900.00 keV   5.749E+02  1.644E+01    2.17 um     1504 A      1834 A   
   1.00 MeV   6.056E+02  1.517E+01    2.34 um     1549 A      1900 A   
   1.10 MeV   6.361E+02  1.410E+01    2.49 um     1588 A      1959 A   
   1.20 MeV   6.665E+02  1.318E+01    2.64 um     1622 A      2012 A   
   1.30 MeV   6.968E+02  1.239E+01    2.79 um     1653 A      2059 A   
   1.40 MeV   7.271E+02  1.169E+01    2.92 um     1680 A      2103 A   
   1.50 MeV   7.572E+02  1.107E+01    3.06 um     1705 A      2143 A   
   1.60 MeV   7.872E+02  1.053E+01    3.18 um     1727 A      2179 A   
   1.70 MeV   8.169E+02  1.003E+01    3.31 um     1747 A      2213 A   
   1.80 MeV   8.462E+02  9.588E+00    3.42 um     1766 A      2244 A   
   2.00 MeV   9.036E+02  8.817E+00    3.65 um     1813 A      2299 A   
   2.25 MeV   9.723E+02  8.023E+00    3.91 um     1869 A      2359 A   
   2.50 MeV   1.037E+03  7.371E+00    4.16 um     1916 A      2410 A   
   2.75 MeV   1.097E+03  6.824E+00    4.39 um     1957 A      2454 A   
   3.00 MeV   1.151E+03  6.358E+00    4.61 um     1992 A      2493 A   
   3.25 MeV   1.201E+03  5.957E+00    4.82 um     2024 A      2528 A   
   3.50 MeV   1.245E+03  5.606E+00    5.03 um     2053 A      2559 A   
   3.75 MeV   1.285E+03  5.298E+00    5.22 um     2079 A      2587 A   
   4.00 MeV   1.320E+03  5.024E+00    5.41 um     2103 A      2614 A   
   4.50 MeV   1.377E+03  4.559E+00    5.78 um     2179 A      2661 A   
   5.00 MeV   1.421E+03  4.178E+00    6.14 um     2246 A      2702 A   
   5.50 MeV   1.453E+03  3.860E+00    6.48 um     2307 A      2739 A   
   6.00 MeV   1.476E+03  3.589E+00    6.82 um     2365 A      2772 A   
   6.50 MeV   1.492E+03  3.357E+00    7.16 um     2419 A      2803 A   
   7.00 MeV   1.503E+03  3.155E+00    7.49 um     2471 A      2832 A   
   8.00 MeV   1.510E+03  2.820E+00    8.15 um     2653 A      2886 A   
   9.00 MeV   1.506E+03  2.553E+00    8.82 um     2823 A      2935 A   
  10.00 MeV   1.495E+03  2.335E+00    9.48 um     2985 A      2980 A   
  11.00 MeV   1.478E+03  2.153E+00   10.15 um     3140 A      3024 A   
  12.00 MeV   1.459E+03  2.000E+00   10.83 um     3292 A      3066 A   
  13.00 MeV   1.437E+03  1.868E+00   11.52 um     3441 A      3106 A   
  14.00 MeV   1.414E+03  1.753E+00   12.22 um     3587 A      3146 A   
  15.00 MeV   1.390E+03  1.652E+00   12.93 um     3733 A      3185 A   
  16.00 MeV   1.367E+03  1.563E+00   13.66 um     3878 A      3223 A   
  17.00 MeV   1.343E+03  1.484E+00   14.40 um     4022 A      3262 A   
  18.00 MeV   1.320E+03  1.413E+00   15.15 um     4166 A      3300 A   
  20.00 MeV   1.275E+03  1.290E+00   16.69 um     4712 A      3377 A   
  22.50 MeV   1.221E+03  1.165E+00   18.69 um     5510 A      3475 A   
  25.00 MeV   1.172E+03  1.064E+00   20.78 um     6264 A      3574 A   
  27.50 MeV   1.127E+03  9.791E-01   22.95 um     6989 A      3676 A   
  30.00 MeV   1.085E+03  9.078E-01   25.21 um     7695 A      3781 A   
  32.50 MeV   1.047E+03  8.466E-01   27.55 um     8390 A      3890 A   
  35.00 MeV   1.011E+03  7.936E-01   29.98 um     9076 A      4003 A   
  37.50 MeV   9.784E+02  7.472E-01   32.49 um     9758 A      4119 A   
  40.00 MeV   9.478E+02  7.062E-01   35.09 um     1.04 um     4240 A   
  45.00 MeV   9.133E+02  6.370E-01   40.46 um     1.29 um     4491 A   
  50.00 MeV   8.694E+02  5.807E-01   46.06 um     1.52 um     4754 A   
  55.00 MeV   8.253E+02  5.340E-01   51.97 um     1.73 um     5032 A   
  60.00 MeV   7.863E+02  4.946E-01   58.17 um     1.95 um     5325 A   
  65.00 MeV   7.514E+02  4.609E-01   64.67 um     2.15 um     5633 A   
  70.00 MeV   7.200E+02  4.317E-01   71.47 um     2.36 um     5956 A   
  80.00 MeV   6.651E+02  3.836E-01   85.91 um     3.13 um     6647 A   
  90.00 MeV   6.187E+02  3.456E-01  101.50 um     3.83 um     7394 A   
 100.00 MeV   5.785E+02  3.147E-01  118.21 um     4.50 um     8198 A   
 110.00 MeV   5.432E+02  2.892E-01  136.05 um     5.16 um     9057 A   
 120.00 MeV   5.119E+02  2.676E-01  155.01 um     5.82 um     9969 A   
 130.00 MeV   4.839E+02  2.492E-01  175.10 um     6.48 um     1.09 um  
 140.00 MeV   4.587E+02  2.333E-01  196.32 um     7.15 um     1.20 um  
 150.00 MeV   4.358E+02  2.193E-01  218.68 um     7.82 um     1.30 um  
 160.00 MeV   4.149E+02  2.070E-01  242.19 um     8.50 um     1.42 um  
 170.00 MeV   3.959E+02  1.961E-01  266.86 um     9.19 um     1.53 um  
 180.00 MeV   3.784E+02  1.863E-01  292.69 um     9.90 um     1.66 um  
 200.00 MeV   3.474E+02  1.695E-01  347.86 um    12.61 um     1.92 um  
 225.00 MeV   3.149E+02  1.525E-01  423.44 um    16.55 um     2.28 um  
 250.00 MeV   2.879E+02  1.388E-01  506.47 um    20.30 um     2.67 um  
 275.00 MeV   2.652E+02  1.274E-01  596.95 um    24.01 um     3.10 um  
 300.00 MeV   2.460E+02  1.178E-01  694.81 um    27.73 um     3.56 um  
 325.00 MeV   2.297E+02  1.096E-01  799.98 um    31.48 um     4.06 um  
 350.00 MeV   2.156E+02  1.025E-01  912.31 um    35.28 um     4.59 um  
 375.00 MeV   2.035E+02  9.630E-02    1.03 mm    39.13 um     5.15 um  
 400.00 MeV   1.929E+02  9.085E-02    1.16 mm    43.02 um     5.75 um  
 450.00 MeV   1.754E+02  8.167E-02    1.43 mm    57.74 um     7.03 um  
 500.00 MeV   1.616E+02  7.424E-02    1.73 mm    71.44 um     8.42 um  
 550.00 MeV   1.503E+02  6.810E-02    2.05 mm    84.67 um     9.93 um  
 600.00 MeV   1.406E+02  6.293E-02    2.39 mm    97.69 um    11.53 um  
 650.00 MeV   1.317E+02  5.852E-02    2.76 mm   110.70 um    13.24 um  
 700.00 MeV   1.239E+02  5.471E-02    3.15 mm   123.82 um    15.06 um  
 800.00 MeV   1.111E+02  4.846E-02    4.00 mm   172.92 um    18.99 um  
 900.00 MeV   1.009E+02  4.353E-02    4.95 mm   218.61 um    23.32 um  
   1.00 GeV   9.269E+01  3.955E-02    5.98 mm   263.11 um    28.04 um  
   1.10 GeV   8.584E+01  3.626E-02    7.10 mm   307.31 um    33.14 um  
   1.20 GeV   8.007E+01  3.349E-02    8.31 mm   351.61 um    38.60 um  
   1.30 GeV   7.512E+01  3.113E-02    9.60 mm   396.22 um    44.41 um  
   1.40 GeV   7.085E+01  2.909E-02   10.97 mm   441.24 um    50.56 um  
   1.50 GeV   6.711E+01  2.731E-02   12.42 mm   486.73 um    57.05 um  
   1.60 GeV   6.381E+01  2.575E-02   13.95 mm   532.71 um    63.86 um  
   1.70 GeV   6.088E+01  2.436E-02   15.55 mm   579.19 um    70.99 um  
   1.80 GeV   5.826E+01  2.311E-02   17.23 mm   626.15 um    78.43 um  
   2.00 GeV   5.376E+01  2.099E-02   20.80 mm   805.09 um    94.21 um  
   2.25 GeV   4.922E+01  1.884E-02   25.66 mm     1.06 mm   115.52 um  
   2.50 GeV   4.554E+01  1.710E-02   30.94 mm     1.30 mm   138.50 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0573E-02                 eV / (1E15 atoms/cm2)
  1.3939E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
