#==== 209Pb 
1g9/2     -3.937      0.025
0i11/2    -3.157      0.025
0j15/2    -2.514      0.025
2d5/2     -2.367      0.025
3s1/2     -1.907      0.025
1g7/2     -1.496      0.025
2d3/2     -1.370      0.025
