# KE:   0.23 MeV, L:  2 
# V0: -40.51 MeV, R0:   7.56 fm, a0:   0.71 fm
# start: 0.00010 fm, dr:0.100, end:  200.00010 fm, nStep: 2000 
#           r          Pot  (Pot+Cent.)            u        du/dr            R        dR/dr           KE
#----------
     6.600100   -30.134896   -27.280816    31.370083  3521.542067     4.826092   541.024903     0.230000
     6.700100   -29.125311   -26.355790   382.552216  3494.622544    57.961579   520.698318     0.230000
     6.800100   -28.059972   -25.371307   728.859136  3424.694970   108.783322   494.904800     0.230000
     6.900100   -26.942150   -24.330852  1066.199754  3316.069534   156.791776   464.592838     0.230000
     7.000100   -25.776089   -23.238866  1390.945897  3173.664947   201.583440   430.730208     0.230000
     7.100100   -24.567076   -22.100820  1699.984154  3002.826930   242.851410   394.276585     0.230000
     7.200100   -23.321488   -20.923262  1990.749238  2809.141001   280.383268   356.158045     0.230000
     7.300100   -22.046814   -19.713841  2261.238646  2598.246986   314.056561   317.244264     0.230000
     7.400100   -20.751605   -18.481260  2510.009164  2375.662662   343.832162   278.329133     0.230000
     7.500100   -19.445355   -17.235148  2736.156495  2146.623628   369.745881   240.115370     0.230000
     7.600100   -18.138279   -15.985851  2939.279957  1915.945913   391.898769   203.203576     0.230000
     7.700100   -16.841013   -14.744129  3119.434810  1687.916728   410.446548   168.085970     0.230000
     7.800100   -15.564247   -13.520784  3277.075236  1466.217134   425.588659   135.144800     0.230000
     7.900100   -14.318324   -12.326266  3412.991250  1253.878276   437.557371   104.655185     0.230000
     8.000100   -13.112846   -11.170278  3528.242904  1053.270507   446.607373    76.791830     0.230000
     8.100100   -11.956328   -10.061427  3624.094928   866.122412   453.006203    51.638881     0.230000
     8.200100   -10.855920    -9.006954  3701.954570   693.564836   457.025786    29.201991     0.230000
     8.300100    -9.817236    -8.012555  3763.314837   536.193786   458.935237     9.421659     0.230000
     8.400100    -8.844274    -7.082305  3809.704691   394.145525   458.995035    -7.813100     0.230000
     8.500100    -7.939436    -6.218681  3842.647095   267.177418   457.452542   -22.651531     0.230000
     8.600100    -7.103634    -5.422663  3863.625191   154.748884   454.538793   -35.268986     0.230000
     8.700100    -6.336444    -4.693893  3874.056385    56.097967   450.466435   -45.856265     0.230000
     8.800100    -5.636309    -4.030877  3875.273728   -29.689652   445.428642   -54.610670     0.230000
     8.900100    -5.000757    -3.431199  3868.513751  -103.621081   439.598840   -61.728835     0.230000
     9.000100    -4.426617    -2.891744  3854.909730  -166.746859   433.131058   -67.401256     0.230000
     9.100100    -3.910222    -2.408897  3835.489392  -220.121722   426.160753   -71.808366     0.230000
     9.200100    -3.447595    -1.978729  3811.176060  -264.774788   418.805954   -75.117937     0.230000
     9.300100    -3.034603    -1.597155  3782.792352  -301.688061   411.168613   -77.483579     0.230000
     9.400100    -2.667085    -1.260059  3751.065669  -331.781991   403.336058   -79.044102     0.230000
     9.500100    -2.340955    -0.963395  3716.634827  -355.906794   395.382477   -79.923540     0.230000
     9.600100    -2.052277    -0.703266  3680.057319  -374.838297   387.370377   -80.231647     0.230000
     9.700100    -1.797315    -0.475975  3641.816820  -389.277212   379.351967   -80.064706     0.230000
     9.800100    -1.572573    -0.278061  3602.330622  -399.850893   371.370462   -79.506537     0.230000
     9.900100    -1.374811    -0.106318  3561.956811  -407.116808   363.461272   -78.629614     0.230000
    10.000100    -1.201055     0.042195  3521.001032  -411.567104   355.653077   -77.496205     0.230000
    10.100100    -1.048596     0.170157  3479.722768  -413.633794   347.968797   -76.159498     0.230000
    10.200100    -0.914981     0.279993  3438.341081  -413.694197   340.426439   -74.664670     0.230000
    10.300100    -0.798001     0.373882  3397.039808  -412.076387   333.039853   -73.049896     0.230000
    10.400100    -0.695678     0.453778  3355.972220  -409.064467   325.819382   -71.347254     0.230000
    10.500100    -0.606247     0.521419  3315.265166  -404.903556   318.772432   -69.583561     0.230000
    10.600100    -0.528137     0.578352  3275.022741  -399.804406   311.903957   -67.781103     0.230000
    10.700100    -0.459958     0.625946  3235.329502  -393.947633   305.216885   -65.958295     0.230000
    10.800100    -0.400478     0.665410  3196.253293  -387.487543   298.712469   -64.130243     0.230000
    10.900100    -0.348612     0.697808  3157.847696  -380.555551   292.390598   -62.309252     0.230000
    11.000100    -0.303404     0.724078  3120.154170  -373.263235   286.250050   -60.505251     0.230000
    11.100100    -0.264012     0.745040  3083.203892  -365.705018   280.288715   -58.726169     0.230000
    11.200100    -0.229700     0.761414  3047.019357  -357.960541   274.503775   -56.978254     0.230000
    11.300100    -0.199820     0.773829  3011.615747  -350.096727   268.891862   -55.266345     0.230000
    11.400100    -0.173807     0.782836  2977.002110  -342.169586   263.449183   -53.594107     0.230000
    11.500100    -0.151164     0.788914  2943.182374  -334.225782   258.171628   -51.964229     0.230000
    11.600100    -0.131459     0.792480  2910.156210  -326.303992   253.054861   -50.378593     0.230000
    11.700100    -0.114314     0.793900  2877.919771  -318.436075   248.094393   -48.838412     0.230000
    11.800100    -0.099397     0.793488  2846.466324  -310.648089   243.285641   -47.344359     0.230000
    11.900100    -0.086422     0.791521  2815.786779  -302.961158   238.623976   -45.896656     0.230000
    12.000100    -0.075136     0.788235  2785.870154  -295.392226   234.104768   -44.495172     0.230000
    12.100100    -0.065320     0.783839  2756.703950  -287.954690   229.723415   -43.139483     0.230000
    12.200100    -0.056784     0.778512  2728.274486  -280.658959   225.475367   -41.828937     0.230000
    12.300100    -0.049362     0.772407  2700.567166  -273.512922   221.356150   -40.562706     0.230000
    12.400100    -0.042908     0.765660  2673.566717  -266.522348   217.361381   -39.339821     0.230000
    12.500100    -0.037297     0.758386  2647.257379  -259.691233   213.486777   -38.159209     0.230000
    12.600100    -0.032419     0.750685  2621.623069  -253.022094   209.728168   -37.019725     0.230000
    12.700100    -0.028177     0.742642  2596.647517  -246.516212   206.081501   -35.920168     0.230000
    12.800100    -0.024491     0.734332  2572.314375  -240.173852   202.542844   -34.859308     0.230000
    12.900100    -0.021286     0.725818  2548.607314  -233.994439   199.108391   -33.835894     0.230000
    13.000100    -0.018500     0.717154  2525.510097  -227.976712   195.774459   -32.848673     0.230000
    13.100100    -0.016078     0.708388  2503.006642  -222.118855   192.537491   -31.896397     0.230000
    13.200100    -0.013973     0.699557  2481.081072  -216.418604   189.394056   -30.977829     0.230000
    13.300100    -0.012144     0.690697  2459.717755  -210.873341   186.340842   -30.091756     0.230000
    13.400100    -0.010554     0.681837  2438.901334  -205.480174   183.374661   -29.236986     0.230000
    13.500100    -0.009172     0.672999  2418.616753  -200.235998   180.492441   -28.412358     0.230000
    13.600100    -0.007971     0.664205  2398.849276  -195.137557   177.691223   -27.616742     0.230000
    13.700100    -0.006927     0.655472  2379.584496  -190.181482   174.968162   -26.849041     0.230000
    13.800100    -0.006019     0.646814  2360.808349  -185.364334   172.320519   -26.108193     0.230000
