 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   1.288E+01  8.311E-03  226.57 um     9.28 um     4.32 um  
   5.50 MeV   1.196E+01  7.630E-03  266.81 um    10.94 um     5.03 um  
   6.00 MeV   1.117E+01  7.057E-03  310.03 um    12.60 um     5.80 um  
   6.50 MeV   1.049E+01  6.568E-03  356.17 um    14.25 um     6.61 um  
   7.00 MeV   9.894E+00  6.145E-03  405.20 um    15.92 um     7.46 um  
   8.00 MeV   8.901E+00  5.449E-03  511.68 um    22.04 um     9.32 um  
   9.00 MeV   8.104E+00  4.900E-03  629.34 um    27.76 um    11.36 um  
  10.00 MeV   7.449E+00  4.456E-03  757.95 um    33.33 um    13.57 um  
  11.00 MeV   6.900E+00  4.088E-03  897.33 um    38.89 um    15.95 um  
  12.00 MeV   6.433E+00  3.779E-03    1.05 mm    44.47 um    18.51 um  
  13.00 MeV   6.031E+00  3.515E-03    1.21 mm    50.11 um    21.23 um  
  14.00 MeV   5.679E+00  3.287E-03    1.38 mm    55.83 um    24.12 um  
  15.00 MeV   5.370E+00  3.087E-03    1.56 mm    61.63 um    27.17 um  
  16.00 MeV   5.096E+00  2.912E-03    1.75 mm    67.53 um    30.38 um  
  17.00 MeV   4.851E+00  2.756E-03    1.95 mm    73.52 um    33.74 um  
  18.00 MeV   4.630E+00  2.617E-03    2.16 mm    79.60 um    37.27 um  
  20.00 MeV   4.248E+00  2.378E-03    2.61 mm   102.48 um    44.78 um  
  22.50 MeV   3.858E+00  2.136E-03    3.23 mm   135.24 um    55.01 um  
  25.00 MeV   3.539E+00  1.941E-03    3.91 mm   166.30 um    66.17 um  
  27.50 MeV   3.272E+00  1.779E-03    4.64 mm   196.78 um    78.24 um  
  30.00 MeV   3.046E+00  1.644E-03    5.43 mm   227.15 um    91.19 um  
  32.50 MeV   2.852E+00  1.528E-03    6.28 mm   257.67 um   105.01 um  
  35.00 MeV   2.684E+00  1.428E-03    7.18 mm   288.49 um   119.69 um  
  37.50 MeV   2.536E+00  1.341E-03    8.14 mm   319.68 um   135.21 um  
  40.00 MeV   2.405E+00  1.264E-03    9.15 mm   351.29 um   151.56 um  
  45.00 MeV   2.183E+00  1.135E-03   11.33 mm   469.48 um   186.71 um  
  50.00 MeV   2.002E+00  1.030E-03   13.72 mm   580.64 um   225.04 um  
  55.00 MeV   1.851E+00  9.441E-04   16.32 mm   689.19 um   266.48 um  
  60.00 MeV   1.724E+00  8.717E-04   19.12 mm   797.06 um   310.94 um  
