 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 3.015 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.00 MeV   1.764E+01  1.235E-02  171.24 um     6.86 um     2.84 um  
   5.50 MeV   1.642E+01  1.134E-02  200.59 um     8.06 um     3.28 um  
   6.00 MeV   1.537E+01  1.049E-02  232.05 um     9.24 um     3.75 um  
   6.50 MeV   1.445E+01  9.764E-03  265.57 um    10.43 um     4.24 um  
   7.00 MeV   1.365E+01  9.136E-03  301.15 um    11.62 um     4.77 um  
   8.00 MeV   1.230E+01  8.103E-03  378.30 um    16.02 um     5.90 um  
   9.00 MeV   1.122E+01  7.288E-03  463.39 um    20.12 um     7.13 um  
  10.00 MeV   1.032E+01  6.628E-03  556.26 um    24.11 um     8.48 um  
  11.00 MeV   9.574E+00  6.082E-03  656.78 um    28.09 um     9.92 um  
  12.00 MeV   8.936E+00  5.622E-03  764.82 um    32.08 um    11.46 um  
  13.00 MeV   8.385E+00  5.230E-03  880.27 um    36.10 um    13.10 um  
  14.00 MeV   7.903E+00  4.891E-03    1.00 mm    40.18 um    14.84 um  
  15.00 MeV   7.479E+00  4.595E-03    1.13 mm    44.31 um    16.68 um  
  16.00 MeV   7.101E+00  4.334E-03    1.27 mm    48.51 um    18.60 um  
  17.00 MeV   6.763E+00  4.102E-03    1.41 mm    52.77 um    20.63 um  
