 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_in_CD2.txt

 Ion = Helium [2] , Mass = 3.016 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   5.705E+01  3.197E-02   63.60 um     2.48 um     1.02 um  
   6.50 MeV   5.437E+01  2.977E-02   72.57 um     2.80 um     1.15 um  
   7.00 MeV   5.176E+01  2.788E-02   81.99 um     3.11 um     1.28 um  
   8.00 MeV   4.664E+01  2.475E-02  102.33 um     4.26 um     1.56 um  
   9.00 MeV   4.245E+01  2.229E-02  124.79 um     5.33 um     1.87 um  
  10.00 MeV   3.901E+01  2.029E-02  149.36 um     6.39 um     2.20 um  
  11.00 MeV   3.614E+01  1.863E-02  175.98 um     7.44 um     2.56 um  
  12.00 MeV   3.369E+01  1.723E-02  204.62 um     8.50 um     2.95 um  
  13.00 MeV   3.159E+01  1.604E-02  235.26 um     9.57 um     3.36 um  
  14.00 MeV   2.975E+01  1.501E-02  267.86 um    10.66 um     3.80 um  
  15.00 MeV   2.814E+01  1.411E-02  302.40 um    11.76 um     4.26 um  
  16.00 MeV   2.671E+01  1.331E-02  338.86 um    12.87 um     4.75 um  
  17.00 MeV   2.543E+01  1.261E-02  377.21 um    14.01 um     5.26 um  
  18.00 MeV   2.427E+01  1.198E-02  417.44 um    15.16 um     5.80 um  
  20.00 MeV   2.228E+01  1.089E-02  503.42 um    19.51 um     6.94 um  
  22.50 MeV   2.024E+01  9.796E-03  621.12 um    25.75 um     8.50 um  
  25.00 MeV   1.857E+01  8.907E-03  750.04 um    31.65 um    10.20 um  
  27.50 MeV   1.717E+01  8.173E-03  890.00 um    37.44 um    12.04 um  
  30.00 MeV   1.599E+01  7.554E-03    1.04 mm    43.21 um    14.01 um  
  32.50 MeV   1.497E+01  7.026E-03    1.20 mm    49.01 um    16.12 um  
  35.00 MeV   1.409E+01  6.570E-03    1.37 mm    54.86 um    18.35 um  
  37.50 MeV   1.331E+01  6.172E-03    1.56 mm    60.78 um    20.72 um  
  40.00 MeV   1.262E+01  5.821E-03    1.75 mm    66.77 um    23.21 um  
  45.00 MeV   1.145E+01  5.231E-03    2.17 mm    89.28 um    28.58 um  
  50.00 MeV   1.050E+01  4.753E-03    2.62 mm   110.45 um    34.44 um  
  55.00 MeV   9.705E+00  4.358E-03    3.12 mm   131.13 um    40.78 um  
  60.00 MeV   9.033E+00  4.027E-03    3.65 mm   151.68 um    47.58 um  
  65.00 MeV   8.456E+00  3.743E-03    4.22 mm   172.30 um    54.86 um  
  70.00 MeV   7.955E+00  3.499E-03    4.83 mm   193.09 um    62.58 um  
  80.00 MeV   7.128E+00  3.097E-03    6.16 mm   270.16 um    79.36 um  
  90.00 MeV   6.471E+00  2.782E-03    7.63 mm   341.94 um    97.87 um  
 100.00 MeV   5.937E+00  2.526E-03    9.24 mm   411.99 um   118.05 um  
 110.00 MeV   5.493E+00  2.315E-03   10.99 mm   481.70 um   139.87 um  
 120.00 MeV   5.118E+00  2.138E-03   12.88 mm   551.70 um   163.27 um  
 130.00 MeV   4.796E+00  1.987E-03   14.90 mm   622.35 um   188.21 um  
 140.00 MeV   4.518E+00  1.856E-03   17.05 mm   693.81 um   214.67 um  
 150.00 MeV   4.274E+00  1.742E-03   19.32 mm   766.19 um   242.60 um  
 160.00 MeV   4.059E+00  1.642E-03   21.72 mm   839.52 um   271.98 um  
 170.00 MeV   3.868E+00  1.553E-03   24.24 mm   913.83 um   302.77 um  
 180.00 MeV   3.696E+00  1.474E-03   26.89 mm   989.10 um   334.93 um  
 200.00 MeV   3.401E+00  1.338E-03   32.53 mm     1.27 mm   403.32 um  
 225.00 MeV   3.102E+00  1.200E-03   40.22 mm     1.68 mm   496.09 um  
 250.00 MeV   2.860E+00  1.089E-03   48.61 mm     2.06 mm   596.59 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  1.1193E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
