 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 05, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CH2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    022.22    004.79   
      C      6    011.11    028.54   
      H      1    044.44    009.58   
      C      6    022.22    057.09   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   7.534E+00  4.741E-03  410.77 um    17.32 um    10.06 um  
   6.00 MeV   7.024E+00  4.384E-03  479.40 um    20.00 um    11.68 um  
   6.50 MeV   6.585E+00  4.079E-03  552.82 um    22.68 um    13.40 um  
   7.00 MeV   6.201E+00  3.815E-03  630.95 um    25.39 um    15.22 um  
   8.00 MeV   5.564E+00  3.382E-03  800.97 um    35.26 um    19.18 um  
   9.00 MeV   5.056E+00  3.041E-03  989.28 um    44.50 um    23.54 um  
  10.00 MeV   4.639E+00  2.764E-03    1.20 mm    53.54 um    28.29 um  
  11.00 MeV   4.291E+00  2.536E-03    1.42 mm    62.57 um    33.43 um  
  12.00 MeV   3.996E+00  2.344E-03    1.66 mm    71.67 um    38.94 um  
  13.00 MeV   3.742E+00  2.179E-03    1.92 mm    80.88 um    44.82 um  
  14.00 MeV   3.521E+00  2.038E-03    2.19 mm    90.23 um    51.07 um  
  15.00 MeV   3.327E+00  1.914E-03    2.49 mm    99.74 um    57.67 um  
  16.00 MeV   3.155E+00  1.805E-03    2.79 mm   109.41 um    64.63 um  
  17.00 MeV   3.001E+00  1.708E-03    3.12 mm   119.24 um    71.94 um  
  18.00 MeV   2.864E+00  1.622E-03    3.46 mm   129.24 um    79.59 um  
  20.00 MeV   2.626E+00  1.473E-03    4.19 mm   166.47 um    95.91 um  
  22.50 MeV   2.384E+00  1.323E-03    5.19 mm   219.74 um   118.19 um  
  25.00 MeV   2.186E+00  1.202E-03    6.28 mm   270.32 um   142.48 um  
  27.50 MeV   2.022E+00  1.102E-03    7.47 mm   319.97 um   168.75 um  
  30.00 MeV   1.883E+00  1.018E-03    8.75 mm   369.47 um   196.95 um  
  32.50 MeV   1.763E+00  9.457E-04   10.12 mm   419.21 um   227.02 um  
  35.00 MeV   1.660E+00  8.837E-04   11.58 mm   469.43 um   258.94 um  
  37.50 MeV   1.570E+00  8.296E-04   13.12 mm   520.23 um   292.67 um  
  40.00 MeV   1.489E+00  7.820E-04   14.76 mm   571.69 um   328.16 um  
  45.00 MeV   1.354E+00  7.020E-04   18.27 mm   762.41 um   404.36 um  
  50.00 MeV   1.244E+00  6.373E-04   22.12 mm   941.59 um   487.26 um  
  55.00 MeV   1.153E+00  5.839E-04   26.29 mm     1.12 mm   576.65 um  
  60.00 MeV   1.076E+00  5.390E-04   30.78 mm     1.29 mm   672.29 um  
  65.00 MeV   1.010E+00  5.008E-04   35.57 mm     1.46 mm   774.01 um  
  70.00 MeV   9.533E-01  4.678E-04   40.65 mm     1.64 mm   881.60 um  
  80.00 MeV   8.595E-01  4.137E-04   51.69 mm     2.27 mm     1.11 mm  
  90.00 MeV   7.854E-01  3.712E-04   63.85 mm     2.86 mm     1.37 mm  
 100.00 MeV   7.253E-01  3.368E-04   77.09 mm     3.44 mm     1.64 mm  
 110.00 MeV   6.756E-01  3.085E-04   91.36 mm     4.00 mm     1.93 mm  
 120.00 MeV   6.338E-01  2.846E-04  106.63 mm     4.56 mm     2.25 mm  
 130.00 MeV   5.982E-01  2.644E-04  122.85 mm     5.12 mm     2.58 mm  
 140.00 MeV   5.673E-01  2.469E-04  140.00 mm     5.69 mm     2.92 mm  
 150.00 MeV   5.405E-01  2.316E-04  158.04 mm     6.25 mm     3.28 mm  
 160.00 MeV   5.168E-01  2.182E-04  176.95 mm     6.82 mm     3.66 mm  
 170.00 MeV   4.958E-01  2.063E-04  196.68 mm     7.39 mm     4.05 mm  
 180.00 MeV   4.771E-01  1.957E-04  217.22 mm     7.97 mm     4.45 mm  
 200.00 MeV   4.451E-01  1.775E-04  260.59 mm    10.10 mm     5.30 mm  
 225.00 MeV   4.128E-01  1.591E-04  318.87 mm    13.09 mm     6.42 mm  
 250.00 MeV   3.868E-01  1.443E-04  381.39 mm    15.85 mm     7.61 mm  
 275.00 MeV   3.655E-01  1.321E-04  447.82 mm    18.48 mm     8.85 mm  
 300.00 MeV   3.477E-01  1.219E-04  517.89 mm    21.03 mm    10.15 mm  
 325.00 MeV   3.326E-01  1.131E-04  591.34 mm    23.52 mm    11.49 mm  
 350.00 MeV   3.197E-01  1.056E-04  667.95 mm    25.96 mm    12.87 mm  
 375.00 MeV   3.085E-01  9.904E-05  747.49 mm    28.36 mm    14.29 mm  
 400.00 MeV   2.987E-01  9.327E-05  829.78 mm    30.73 mm    15.74 mm  
 450.00 MeV   2.825E-01  8.359E-05    1.00 m     39.32 mm    18.72 mm  
 500.00 MeV   2.696E-01  7.578E-05    1.18 m     47.04 mm    21.79 mm  
 550.00 MeV   2.592E-01  6.935E-05    1.37 m     54.24 mm    24.92 mm  
 600.00 MeV   2.506E-01  6.395E-05    1.57 m     61.04 mm    28.11 mm  
 650.00 MeV   2.434E-01  5.935E-05    1.77 m     67.55 mm    31.33 mm  
 700.00 MeV   2.374E-01  5.539E-05    1.98 m     73.80 mm    34.58 mm  
 800.00 MeV   2.278E-01  4.890E-05    2.41 m     95.83 mm    41.12 mm  
 900.00 MeV   2.207E-01  4.381E-05    2.85 m    114.93 mm    47.66 mm  
