 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 01, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2_2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1041E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.944E+00  3.913E-03  445.66 um    18.79 um    10.93 um  
   6.00 MeV   6.475E+00  3.618E-03  520.13 um    21.69 um    12.68 um  
   6.50 MeV   6.070E+00  3.367E-03  599.78 um    24.60 um    14.55 um  
   7.00 MeV   5.716E+00  3.150E-03  684.55 um    27.54 um    16.53 um  
   8.00 MeV   5.129E+00  2.792E-03  869.01 um    38.25 um    20.83 um  
   9.00 MeV   4.660E+00  2.511E-03    1.07 mm    48.28 um    25.56 um  
  10.00 MeV   4.276E+00  2.282E-03    1.30 mm    58.09 um    30.72 um  
  11.00 MeV   3.955E+00  2.094E-03    1.54 mm    67.88 um    36.29 um  
  12.00 MeV   3.683E+00  1.935E-03    1.80 mm    77.75 um    42.28 um  
  13.00 MeV   3.449E+00  1.800E-03    2.08 mm    87.75 um    48.66 um  
  14.00 MeV   3.245E+00  1.683E-03    2.38 mm    97.89 um    55.44 um  
  15.00 MeV   3.067E+00  1.581E-03    2.70 mm   108.20 um    62.61 um  
  16.00 MeV   2.908E+00  1.491E-03    3.03 mm   118.69 um    70.17 um  
  17.00 MeV   2.767E+00  1.411E-03    3.38 mm   129.35 um    78.10 um  
  18.00 MeV   2.640E+00  1.339E-03    3.75 mm   140.20 um    86.41 um  
  20.00 MeV   2.420E+00  1.217E-03    4.54 mm   180.59 um   104.13 um  
  22.50 MeV   2.197E+00  1.093E-03    5.63 mm   238.39 um   128.31 um  
  25.00 MeV   2.015E+00  9.929E-04    6.81 mm   293.26 um   154.68 um  
  27.50 MeV   1.864E+00  9.101E-04    8.10 mm   347.12 um   183.20 um  
  30.00 MeV   1.735E+00  8.406E-04    9.49 mm   400.82 um   213.81 um  
  32.50 MeV   1.626E+00  7.813E-04   10.98 mm   454.79 um   246.46 um  
  35.00 MeV   1.530E+00  7.301E-04   12.56 mm   509.26 um   281.11 um  
  37.50 MeV   1.447E+00  6.854E-04   14.24 mm   564.38 um   317.72 um  
  40.00 MeV   1.373E+00  6.461E-04   16.01 mm   620.21 um   356.25 um  
  45.00 MeV   1.248E+00  5.800E-04   19.83 mm   827.11 um   438.96 um  
  50.00 MeV   1.147E+00  5.266E-04   24.00 mm     1.02 mm   528.96 um  
  55.00 MeV   1.063E+00  4.825E-04   28.52 mm     1.21 mm   625.99 um  
  60.00 MeV   9.920E-01  4.454E-04   33.39 mm     1.40 mm   729.81 um  
  65.00 MeV   9.313E-01  4.139E-04   38.59 mm     1.59 mm   840.23 um  
  70.00 MeV   8.788E-01  3.866E-04   44.11 mm     1.78 mm   957.02 um  
  80.00 MeV   7.923E-01  3.419E-04   56.08 mm     2.47 mm     1.21 mm  
  90.00 MeV   7.240E-01  3.068E-04   69.27 mm     3.11 mm     1.48 mm  
 100.00 MeV   6.686E-01  2.784E-04   83.63 mm     3.73 mm     1.78 mm  
