 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15C_in_CD2.txt

 Ion = Carbon [6] , Mass = 15.011 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   8.438E+02  1.039E+00   10.41 um     3159 A      3135 A   
   7.00 MeV   8.397E+02  9.751E-01   11.00 um     3277 A      3179 A   
   8.00 MeV   8.273E+02  8.695E-01   12.20 um     3704 A      3265 A   
   9.00 MeV   8.112E+02  7.857E-01   13.42 um     4099 A      3346 A   
  10.00 MeV   7.928E+02  7.174E-01   14.67 um     4473 A      3425 A   
  11.00 MeV   7.731E+02  6.606E-01   15.94 um     4835 A      3503 A   
  12.00 MeV   7.529E+02  6.126E-01   17.25 um     5189 A      3580 A   
  13.00 MeV   7.326E+02  5.715E-01   18.60 um     5537 A      3657 A   
  14.00 MeV   7.126E+02  5.359E-01   19.98 um     5883 A      3735 A   
  15.00 MeV   6.929E+02  5.046E-01   21.40 um     6227 A      3814 A   
  16.00 MeV   6.739E+02  4.770E-01   22.86 um     6572 A      3894 A   
  17.00 MeV   6.555E+02  4.524E-01   24.37 um     6918 A      3975 A   
  18.00 MeV   6.377E+02  4.304E-01   25.91 um     7265 A      4058 A   
  20.00 MeV   6.044E+02  3.925E-01   29.13 um     8593 A      4230 A   
  22.50 MeV   5.665E+02  3.540E-01   33.40 um     1.05 um     4456 A   
  25.00 MeV   5.327E+02  3.227E-01   37.95 um     1.24 um     4696 A   
  27.50 MeV   5.023E+02  2.967E-01   42.79 um     1.41 um     4952 A   
  30.00 MeV   4.751E+02  2.748E-01   47.90 um     1.59 um     5224 A   
  32.50 MeV   4.583E+02  2.560E-01   53.26 um     1.76 um     5511 A   
  35.00 MeV   4.404E+02  2.398E-01   58.82 um     1.93 um     5812 A   
  37.50 MeV   4.207E+02  2.256E-01   64.63 um     2.10 um     6126 A   
  40.00 MeV   4.019E+02  2.131E-01   70.70 um     2.27 um     6456 A   
  45.00 MeV   3.694E+02  1.919E-01   83.68 um     2.93 um     7166 A   
  50.00 MeV   3.421E+02  1.748E-01   97.74 um     3.54 um     7940 A   
  55.00 MeV   3.190E+02  1.606E-01  112.87 um     4.14 um     8779 A   
  60.00 MeV   2.990E+02  1.486E-01  129.06 um     4.74 um     9680 A   
  65.00 MeV   2.815E+02  1.384E-01  146.29 um     5.33 um     1.06 um  
  70.00 MeV   2.662E+02  1.295E-01  164.55 um     5.93 um     1.17 um  
  80.00 MeV   2.403E+02  1.149E-01  204.10 um     8.16 um     1.39 um  
  90.00 MeV   2.193E+02  1.034E-01  247.66 um    10.24 um     1.63 um  
 100.00 MeV   2.018E+02  9.412E-02  295.19 um    12.26 um     1.90 um  
 110.00 MeV   1.870E+02  8.641E-02  346.67 um    14.27 um     2.19 um  
 120.00 MeV   1.743E+02  7.991E-02  402.04 um    16.29 um     2.50 um  
 130.00 MeV   1.633E+02  7.436E-02  461.31 um    18.33 um     2.84 um  
