 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\16N_in_CD2.txt

 Ion = Nitrogen [7] , Mass = 16.0061 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.013E+03  1.461E+00    9.07 um     2826 A      2949 A   
   7.00 MeV   1.014E+03  1.372E+00    9.57 um     2919 A      2989 A   
   8.00 MeV   1.010E+03  1.224E+00   10.55 um     3249 A      3063 A   
   9.00 MeV   1.001E+03  1.107E+00   11.54 um     3551 A      3132 A   
  10.00 MeV   9.876E+02  1.011E+00   12.55 um     3836 A      3199 A   
  11.00 MeV   9.715E+02  9.312E-01   13.57 um     4108 A      3264 A   
  12.00 MeV   9.535E+02  8.639E-01   14.61 um     4372 A      3327 A   
  13.00 MeV   9.343E+02  8.062E-01   15.67 um     4631 A      3389 A   
  14.00 MeV   9.146E+02  7.561E-01   16.75 um     4885 A      3451 A   
  15.00 MeV   8.946E+02  7.122E-01   17.85 um     5138 A      3512 A   
  16.00 MeV   8.746E+02  6.734E-01   18.98 um     5389 A      3574 A   
  17.00 MeV   8.549E+02  6.388E-01   20.14 um     5640 A      3637 A   
  18.00 MeV   8.355E+02  6.078E-01   21.32 um     5891 A      3700 A   
  20.00 MeV   7.980E+02  5.545E-01   23.77 um     6848 A      3828 A   
  22.50 MeV   7.543E+02  5.003E-01   26.99 um     8243 A      3995 A   
  25.00 MeV   7.141E+02  4.562E-01   30.39 um     9563 A      4169 A   
  27.50 MeV   6.774E+02  4.196E-01   33.98 um     1.08 um     4352 A   
  30.00 MeV   6.439E+02  3.887E-01   37.77 um     1.21 um     4545 A   
  32.50 MeV   6.156E+02  3.623E-01   41.74 um     1.34 um     4748 A   
  35.00 MeV   5.965E+02  3.394E-01   45.86 um     1.46 um     4959 A   
  37.50 MeV   5.758E+02  3.194E-01   50.12 um     1.58 um     5179 A   
  40.00 MeV   5.527E+02  3.017E-01   54.55 um     1.70 um     5408 A   
  45.00 MeV   5.103E+02  2.719E-01   63.97 um     2.16 um     5897 A   
  50.00 MeV   4.745E+02  2.477E-01   74.13 um     2.60 um     6428 A   
  55.00 MeV   4.439E+02  2.276E-01   85.02 um     3.03 um     7002 A   
  60.00 MeV   4.173E+02  2.107E-01   96.63 um     3.45 um     7617 A   
  65.00 MeV   3.941E+02  1.962E-01  108.96 um     3.87 um     8273 A   
  70.00 MeV   3.736E+02  1.837E-01  121.99 um     4.29 um     8970 A   
  80.00 MeV   3.389E+02  1.631E-01  150.09 um     5.85 um     1.05 um  
  90.00 MeV   3.106E+02  1.468E-01  180.91 um     7.30 um     1.21 um  
 100.00 MeV   2.870E+02  1.336E-01  214.40 um     8.71 um     1.40 um  
 110.00 MeV   2.670E+02  1.227E-01  250.52 um    10.11 um     1.59 um  
 120.00 MeV   2.497E+02  1.135E-01  289.24 um    11.50 um     1.80 um  
 130.00 MeV   2.347E+02  1.056E-01  330.54 um    12.91 um     2.02 um  
 140.00 MeV   2.214E+02  9.880E-02  374.40 um    14.33 um     2.26 um  
 150.00 MeV   2.096E+02  9.286E-02  420.81 um    15.77 um     2.51 um  
 160.00 MeV   1.991E+02  8.763E-02  469.76 um    17.24 um     2.77 um  
 170.00 MeV   1.895E+02  8.297E-02  521.23 um    18.72 um     3.05 um  
 180.00 MeV   1.809E+02  7.881E-02  575.23 um    20.23 um     3.33 um  
 200.00 MeV   1.658E+02  7.167E-02  690.73 um    26.03 um     3.95 um  
