 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 07, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\15N_in_CD2.txt

 Ion = Nitrogen [7] , Mass = 15 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   1.014E+03  1.378E+00    8.90 um     2774 A      2876 A   
   7.00 MeV   1.013E+03  1.293E+00    9.40 um     2868 A      2915 A   
   8.00 MeV   1.006E+03  1.154E+00   10.39 um     3204 A      2989 A   
   9.00 MeV   9.933E+02  1.043E+00   11.38 um     3514 A      3059 A   
  10.00 MeV   9.770E+02  9.528E-01   12.40 um     3806 A      3126 A   
  11.00 MeV   9.583E+02  8.777E-01   13.43 um     4087 A      3192 A   
  12.00 MeV   9.381E+02  8.142E-01   14.48 um     4360 A      3256 A   
  13.00 MeV   9.171E+02  7.597E-01   15.56 um     4628 A      3320 A   
  14.00 MeV   8.958E+02  7.125E-01   16.66 um     4892 A      3384 A   
  15.00 MeV   8.745E+02  6.711E-01   17.79 um     5155 A      3447 A   
  16.00 MeV   8.534E+02  6.345E-01   18.95 um     5418 A      3512 A   
  17.00 MeV   8.328E+02  6.019E-01   20.13 um     5680 A      3577 A   
  18.00 MeV   8.126E+02  5.727E-01   21.35 um     5943 A      3643 A   
  20.00 MeV   7.741E+02  5.224E-01   23.87 um     6946 A      3778 A   
  22.50 MeV   7.296E+02  4.713E-01   27.19 um     8406 A      3954 A   
  25.00 MeV   6.891E+02  4.297E-01   30.72 um     9791 A      4140 A   
  27.50 MeV   6.524E+02  3.952E-01   34.44 um     1.11 um     4336 A   
  30.00 MeV   6.191E+02  3.661E-01   38.38 um     1.25 um     4543 A   
  32.50 MeV   5.991E+02  3.412E-01   42.48 um     1.38 um     4760 A   
  35.00 MeV   5.771E+02  3.197E-01   46.73 um     1.50 um     4985 A   
  37.50 MeV   5.526E+02  3.008E-01   51.16 um     1.63 um     5221 A   
  40.00 MeV   5.290E+02  2.841E-01   55.78 um     1.76 um     5468 A   
  45.00 MeV   4.880E+02  2.560E-01   65.62 um     2.25 um     5997 A   
  50.00 MeV   4.535E+02  2.332E-01   76.24 um     2.71 um     6573 A   
  55.00 MeV   4.240E+02  2.143E-01   87.64 um     3.15 um     7194 A   
  60.00 MeV   3.984E+02  1.983E-01   99.81 um     3.60 um     7861 A   
  65.00 MeV   3.761E+02  1.847E-01  112.72 um     4.04 um     8572 A   
  70.00 MeV   3.564E+02  1.729E-01  126.38 um     4.48 um     9327 A   
  80.00 MeV   3.230E+02  1.535E-01  155.85 um     6.13 um     1.10 um  
  90.00 MeV   2.959E+02  1.382E-01  188.19 um     7.65 um     1.28 um  
 100.00 MeV   2.733E+02  1.257E-01  223.36 um     9.14 um     1.47 um  
 110.00 MeV   2.540E+02  1.155E-01  261.31 um    10.60 um     1.68 um  
 120.00 MeV   2.375E+02  1.068E-01  302.02 um    12.08 um     1.91 um  
 130.00 MeV   2.230E+02  9.939E-02  345.47 um    13.56 um     2.15 um  
 140.00 MeV   2.103E+02  9.298E-02  391.63 um    15.06 um     2.41 um  
 150.00 MeV   1.990E+02  8.739E-02  440.51 um    16.58 um     2.68 um  
 160.00 MeV   1.889E+02  8.246E-02  492.08 um    18.12 um     2.96 um  
 170.00 MeV   1.797E+02  7.808E-02  546.35 um    19.69 um     3.26 um  
 180.00 MeV   1.715E+02  7.416E-02  603.31 um    21.29 um     3.57 um  
 200.00 MeV   1.570E+02  6.744E-02  725.20 um    27.42 um     4.24 um  
 225.00 MeV   1.421E+02  6.063E-02  892.56 um    36.26 um     5.16 um  
 250.00 MeV   1.299E+02  5.513E-02    1.08 mm    44.67 um     6.16 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  1.9729E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
