z,e
-310.926,5.7172
-303.01,5.38717
-330.666,5.298
-328.925,8.40783
-296.345,6.3855
-306.281,7.19044
-302.577,6.94389
-296.014,5.88605
-304.811,5.7937
-293.325,4.03393
-332.697,5.02358
-294.693,3.54149
-310.702,5.34725
-318.882,8.62622
-334.935,3.15522
-332.113,7.65369
-338.156,4.92957
-331.929,3.13676
-301.636,5.83711
-300.207,5.96577
-304.4,5.68498
-291.811,5.85313
-332.334,5.47265
-302.673,5.77064
-321.01,5.34743
-299.832,4.31835
-335.826,7.55546
-337.851,4.79946
-299.329,8.19726
-297.129,8.17532
-292.329,3.83521
-292.689,5.74527
-337.229,4.54159
-305.83,3.75641
-300.695,5.89896
-336.035,3.79109
-304.348,4.11765
-318.638,3.91916
-308.954,5.36943
-329.684,6.96491
-319.156,7.17867
-298.973,4.77458
-326.333,7.83609
-321.619,4.16416
-295.446,5.99862
-305.436,5.26759
-335.3,5.18107
-296.168,3.0125
-305.064,3.60634
-295.115,4.41808
-296.561,3.20047
-301.222,8.17561
-323.373,6.85053
-330.959,5.31096
-321.021,8.66446
-304.267,3.7889
-316.687,5.64106
-310.965,5.60722
-319.729,3.35414
-299.935,5.89033
-309.165,6.99831
-336.198,6.81285
-306.38,4.47902
-336.084,4.57779
-308.097,4.26009
-338.07,4.90219
-292.176,8.6524
-329.627,5.41125
-330.154,3.17276
-338.364,3.18225
-309.265,6.59358
-294.23,3.35356
-315.971,7.9344
-326.814,3.2872
-333.303,3.3763
-331.776,5.40834
-321.446,3.66084
-298.647,3.26175
-317.655,5.30369
-293.453,5.90499
-336.242,4.79043
-309.619,5.81326
-308.803,3.82538
-293.09,3.6455
-291.208,7.21408
-309.771,5.5942
-337.542,3.31497
-326.386,3.37763
-338.825,5.20286
-296.171,3.57153
-322.024,8.73703
-326.288,3.42368
-295.855,6.00224
-335.71,4.8751
-292.502,4.57832
-329.493,5.01483
-309.323,3.08583
-325.47,4.8929
-310.129,5.29912
-312.617,8.04136
-304.613,5.76572
-306.251,3.78503
-329.617,5.00728
-304.855,5.83486
