a4200,4200,e4200a5260,5260,e5260a5490,5490,e5490a5770,5770,e5770
25,13.3333,9.42809,20.8,17.7778,12.5708,19.8,53.3333,21.7732,19.1,53.3333,21.7732,
27.5,10,3.16228,24.8,20,4.47214,23.8,19,4.3589,22.9,21,4.58258,
32.7,3.61446,2.08681,29.9,12.0482,3.80997,29,27.7108,5.77811,28.6,19.2771,4.81928,
36.6,1.49254,1.49254,34.1,7.46269,3.33741,33.4,28.3582,6.50582,33,14.9254,4.71982,
39.5,2,1.41421,37.4,3,1.73205,36.8,14,3.74166,36.4,21,4.58258,
