#94Ru(d,p)95Ru(5/2+ 0.000) ELAB= 16.800
#94Ru(d,p)95Ru(5/2+ 1.648) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 0.788) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 2.246) ELAB= 16.800
#94Ru(d,p)95Ru(1/2+ 3.288) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 0.942) ELAB= 16.800
#94Ru(d,p)95Ru(7/2+ 1.331) ELAB= 16.800
#94Ru(d,p)95Ru(11/2- 2.450) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.141) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 1.740) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 2.220) ELAB= 16.800
#94Ru(d,p)95Ru(3/2+ 3.288) ELAB= 16.800
   Angel	  Ex=0.000(1d5/2)AK  Ex=1.648(1d5/2)AK  Ex=0.788(2s1/2)AK  Ex=2.246(2s1/2)AK  Ex=3.288(2s1/2)AK  Ex=0.942(0g7/2)AK  Ex=1.331(0g7/2)AK Ex=2.450(0h11/2)AK  Ex=1.141(1d3/2)AK  Ex=1.740(1d3/2)AK  Ex=2.220(1d3/2)AK  Ex=3.288(1d3/2)AK
   7.800	           3.737000           5.018100          28.571000          28.197000          26.740000           1.062800           1.152200           0.346330           3.004500           3.411300           3.832000           5.178600
   8.000	           3.932000           5.249000          27.592000          27.219000          25.822000           1.058100           1.146800           0.347610           3.152200           3.569200           3.997800           5.360500
   8.200	           4.132100           5.485100          26.617000          26.244000          24.907000           1.053300           1.141300           0.348930           3.303400           3.730300           4.167000           5.545400
   8.400	           4.337200           5.726100          25.645000          25.274000          23.995000           1.048600           1.135800           0.350280           3.457800           3.894700           4.339200           5.733000
   8.600	           4.547300           5.971800          24.680000          24.310000          23.089000           1.043800           1.130300           0.351670           3.615400           4.062200           4.514400           5.923200
   8.800	           4.762100           6.222000          23.722000          23.353000          22.190000           1.039100           1.124800           0.353090           3.776000           4.232600           4.692500           6.115800
   9.000	           4.981300           6.476400          22.773000          22.405000          21.299000           1.034300           1.119300           0.354550           3.939400           4.405700           4.873100           6.310500
   9.200	           5.204900           6.734900          21.833000          21.466000          20.416000           1.029600           1.113800           0.356050           4.105600           4.581400           5.056100           6.507200
   9.400	           5.432700           6.997000          20.904000          20.539000          19.544000           1.024900           1.108400           0.357580           4.274200           4.759500           5.241400           6.705500
   9.600	           5.664200           7.262600          19.987000          19.624000          18.683000           1.020200           1.102900           0.359150           4.445300           4.939800           5.428700           6.905400
   9.800	           5.899400           7.531400          19.084000          18.722000          17.835000           1.015600           1.097500           0.360750           4.618400           5.122000           5.617800           7.106500
  10.000	           6.137900           7.802900          18.195000          17.835000          17.001000           1.011000           1.092200           0.362400           4.793500           5.306000           5.808500           7.308500
  10.200	           6.379500           8.076900          17.321000          16.963000          16.180000           1.006500           1.086900           0.364080           4.970400           5.491600           6.000400           7.511300
  10.400	           6.623800           8.353100          16.464000          16.108000          15.376000           1.002000           1.081700           0.365810           5.148700           5.678400           6.193500           7.714600
  10.600	           6.870600           8.631000          15.624000          15.271000          14.587000           0.997630           1.076500           0.367580           5.328400           5.866300           6.387400           7.918000
  10.800	           7.119500           8.910300          14.802000          14.452000          13.816000           0.993320           1.071400           0.369380           5.509000           6.055000           6.581900           8.121400
  11.000	           7.370100           9.190600          13.999000          13.652000          13.063000           0.989100           1.066500           0.371240           5.690500           6.244300           6.776700           8.324400
  11.200	           7.622200           9.471600          13.216000          12.872000          12.328000           0.984980           1.061600           0.373130           5.872600           6.433900           6.971600           8.526800
  11.400	           7.875300           9.752800          12.453000          12.113000          11.613000           0.980970           1.056800           0.375070           6.054900           6.623400           7.166200           8.728200
  11.600	           8.129100          10.034000          11.711000          11.376000          10.918000           0.977070           1.052200           0.377060           6.237200           6.812800           7.360300           8.928400
  11.800	           8.383200          10.314000          10.991000          10.660000          10.244000           0.973310           1.047700           0.379100           6.419300           7.001600           7.553500           9.127100
  12.000	           8.637200          10.593000          10.294000           9.966900           9.590800           0.969670           1.043400           0.381180           6.600900           7.189500           7.745700           9.324000
  12.200	           8.890700          10.871000           9.618600           9.296700           8.959200           0.966190           1.039100           0.383320           6.781700           7.376400           7.936500           9.518800
  12.400	           9.143400          11.147000           8.966600           8.650000           8.349600           0.962860           1.035100           0.385500           6.961400           7.561900           8.125700           9.711200
  12.600	           9.394700          11.421000           8.338000           8.027100           7.762500           0.959690           1.031200           0.387740           7.139700           7.745600           8.312800           9.900900
  12.800	           9.644200          11.692000           7.733100           7.428300           7.198200           0.956700           1.027600           0.390040           7.316300           7.927400           8.497700          10.088000
  13.000	           9.891600          11.959000           7.152100           6.853800           6.656800           0.953890           1.024100           0.392390           7.491000           8.106900           8.680000          10.271000
  13.200	          10.136000          12.223000           6.595200           6.303900           6.138600           0.951280           1.020800           0.394800           7.663500           8.283900           8.859400          10.451000
  13.400	          10.378000          12.483000           6.062600           5.778700           5.643800           0.948870           1.017700           0.397270           7.833400           8.457900           9.035700          10.627000
  13.600	          10.617000          12.738000           5.554300           5.278300           5.172500           0.946680           1.014900           0.399800           8.000500           8.628800           9.208500          10.799000
  13.800	          10.851000          12.988000           5.070400           4.802700           4.724700           0.944700           1.012300           0.402400           8.164500           8.796300           9.377500          10.966000
  14.000	          11.082000          13.233000           4.610700           4.352000           4.300400           0.942970           1.009900           0.405060           8.325100           8.960000           9.542600          11.129000
  14.200	          11.307000          13.471000           4.175300           3.925900           3.899600           0.941470           1.007800           0.407800           8.482000           9.119700           9.703300          11.286000
  14.400	          11.528000          13.704000           3.763900           3.524500           3.522100           0.940230           1.006000           0.410600           8.635000           9.275100           9.859400          11.439000
  14.600	          11.743000          13.930000           3.376400           3.147400           3.167900           0.939250           1.004500           0.413480           8.783800           9.426000          10.011000          11.585000
  14.800	          11.952000          14.148000           3.012600           2.794700           2.836800           0.938540           1.003200           0.416430           8.928000           9.572000          10.157000          11.727000
  15.000	          12.155000          14.360000           2.672300           2.465800           2.528600           0.938110           1.002200           0.419460           9.067600           9.712900          10.298000          11.862000
  15.200	          12.351000          14.563000           2.355000           2.160700           2.242900           0.937980           1.001600           0.422570           9.202100           9.848500          10.433000          11.991000
  15.400	          12.540000          14.758000           2.060500           1.878800           1.979500           0.938140           1.001200           0.425760           9.331400           9.978400          10.562000          12.113000
  15.600	          12.722000          14.944000           1.788300           1.619900           1.738100           0.938620           1.001200           0.429040           9.455300          10.103000          10.685000          12.229000
  15.800	          12.896000          15.122000           1.538100           1.383600           1.518200           0.939410           1.001500           0.432410           9.573400          10.221000          10.802000          12.338000
  16.000	          13.062000          15.290000           1.309300           1.169200           1.319500           0.940530           1.002100           0.435870           9.685700          10.333000          10.912000          12.440000
  16.200	          13.220000          15.448000           1.101600           0.976500           1.141400           0.941980           1.003200           0.439420           9.791800          10.438000          11.016000          12.535000
  16.400	          13.368000          15.597000           0.914320           0.804810           0.983680           0.943780           1.004500           0.443080           9.891600          10.537000          11.113000          12.622000
  16.600	          13.509000          15.736000           0.746980           0.653650           0.845660           0.945920           1.006200           0.446830           9.984900          10.629000          11.203000          12.702000
  16.800	          13.639000          15.864000           0.599010           0.522420           0.726850           0.948420           1.008300           0.450690          10.072000          10.714000          11.285000          12.774000
  17.000	          13.761000          15.981000           0.469820           0.410550           0.626710           0.951290           1.010800           0.454660          10.151000          10.792000          11.360000          12.838000
  17.200	          13.872000          16.088000           0.358800           0.317400           0.544660           0.954530           1.013700           0.458740          10.224000          10.862000          11.428000          12.895000
  17.400	          13.974000          16.184000           0.265310           0.242340           0.480110           0.958140           1.017000           0.462930          10.290000          10.926000          11.488000          12.943000
  17.600	          14.066000          16.268000           0.188720           0.184720           0.432450           0.962140           1.020600           0.467240          10.349000          10.982000          11.540000          12.984000
  17.800	          14.147000          16.341000           0.128360           0.143870           0.401050           0.966530           1.024700           0.471670          10.400000          11.030000          11.585000          13.016000
  18.000	          14.219000          16.403000           0.083569           0.119100           0.385280           0.971310           1.029200           0.476230          10.444000          11.070000          11.622000          13.040000
  18.200	          14.279000          16.453000           0.053666           0.109710           0.384470           0.976480           1.034100           0.480920          10.481000          11.103000          11.650000          13.056000
  18.400	          14.329000          16.492000           0.037965           0.115020           0.397970           0.982060           1.039400           0.485740          10.510000          11.128000          11.671000          13.064000
  18.600	          14.369000          16.519000           0.035776           0.134300           0.425110           0.988040           1.045100           0.490690          10.531000          11.145000          11.684000          13.063000
  18.800	          14.398000          16.534000           0.046405           0.166850           0.465210           0.994420           1.051300           0.495790          10.545000          11.155000          11.689000          13.054000
  19.000	          14.415000          16.537000           0.069157           0.211940           0.517580           1.001200           1.057800           0.501030          10.551000          11.156000          11.686000          13.037000
  19.200	          14.423000          16.529000           0.103340           0.268860           0.581550           1.008400           1.064800           0.506410          10.550000          11.150000          11.675000          13.012000
  19.400	          14.419000          16.509000           0.148260           0.336900           0.656440           1.016000           1.072300           0.511950          10.542000          11.136000          11.656000          12.979000
  19.600	          14.405000          16.478000           0.203230           0.415330           0.741550           1.024000           1.080100           0.517650          10.525000          11.115000          11.629000          12.938000
  19.800	          14.380000          16.435000           0.267570           0.503450           0.836210           1.032500           1.088400           0.523500          10.502000          11.085000          11.595000          12.889000
  20.000	          14.345000          16.381000           0.340600           0.600570           0.939750           1.041300           1.097000           0.529520          10.471000          11.049000          11.553000          12.832000
  20.200	          14.299000          16.315000           0.421670           0.705970           1.051500           1.050500           1.106100           0.535700          10.432000          11.004000          11.503000          12.767000
  20.400	          14.243000          16.239000           0.510110           0.818990           1.170800           1.060200           1.115600           0.542050          10.387000          10.953000          11.445000          12.695000
  20.600	          14.177000          16.151000           0.605290           0.938940           1.297000           1.070200           1.125600           0.548580          10.334000          10.894000          11.381000          12.616000
  20.800	          14.100000          16.053000           0.706570           1.065200           1.429400           1.080600           1.135900           0.555280          10.274000          10.828000          11.309000          12.529000
  21.000	          14.014000          15.945000           0.813340           1.197000           1.567400           1.091400           1.146600           0.562160          10.208000          10.755000          11.230000          12.435000
  21.200	          13.918000          15.826000           0.925010           1.333900           1.710500           1.102600           1.157700           0.569230          10.135000          10.675000          11.145000          12.334000
  21.400	          13.813000          15.698000           1.041000           1.475100           1.857900           1.114200           1.169200           0.576490          10.055000          10.589000          11.052000          12.227000
  21.600	          13.699000          15.559000           1.160700           1.620100           2.009200           1.126100           1.181100           0.583940           9.969700          10.496000          10.953000          12.113000
  21.800	          13.576000          15.412000           1.283600           1.768200           2.163700           1.138400           1.193300           0.591580           9.877700          10.397000          10.848000          11.993000
  22.000	          13.445000          15.256000           1.409200           1.919100           2.320900           1.151000           1.205900           0.599420           9.779800          10.292000          10.737000          11.867000
  22.200	          13.305000          15.090000           1.536900           2.071900           2.480200           1.163900           1.218800           0.607460           9.676200          10.181000          10.620000          11.735000
  22.400	          13.157000          14.917000           1.666300           2.226400           2.641100           1.177200           1.232000           0.615700           9.567100          10.065000          10.498000          11.598000
  22.600	          13.002000          14.735000           1.796900           2.381900           2.803200           1.190800           1.245600           0.624140           9.452800           9.943100          10.370000          11.456000
  22.800	          12.839000          14.546000           1.928300           2.538000           2.965900           1.204600           1.259400           0.632800           9.333500           9.816400          10.237000          11.308000
