                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                    ../root_data/trace_run101.root,    2156269,  2030.56,    5895.631,      98.261,       1.638
                    ../root_data/trace_run102.root,    2280958,  5434.13,    4047.561,      67.459,       1.124
                    ../root_data/trace_run103.root,      58090,   379.83,    1184.326,      19.739,       0.329
                    ../root_data/trace_run104.root,     153055,   939.39,    3503.758,      58.396,       0.973
                    ../root_data/trace_run105.root,     181818,  1153.48,    3595.579,      59.926,       0.999
                    ../root_data/trace_run106.root,     187258,  1246.99,    3542.248,      59.037,       0.984
                    ../root_data/trace_run107.root,     183337,  1131.81,    3554.884,      59.248,       0.987
                    ../root_data/trace_run108.root,     194092,  1251.04,    3457.312,      57.622,       0.960
                    ../root_data/trace_run109.root,     155965,   985.03,    3558.272,      59.305,       0.988
                    ../root_data/trace_run110.root,     192922,  1155.87,    3490.854,      58.181,       0.970
                    ../root_data/trace_run111.root,     180817,  1112.92,    3536.813,      58.947,       0.982
                    ../root_data/trace_run112.root,     189789,  1118.87,    3497.085,      58.285,       0.971
                    ../root_data/trace_run113.root,     190878,  1116.55,    3544.648,      59.077,       0.985
                    ../root_data/trace_run114.root,     173876,  1010.31,    3534.499,      58.908,       0.982
                    ../root_data/trace_run115.root,     184376,  1149.21,    3487.482,      58.125,       0.969
                    ../root_data/trace_run116.root,     174101,  3458.59,    3589.362,      59.823,       0.997
                    ../root_data/trace_run117.root,     176234,  1085.39,    3538.085,      58.968,       0.983
                    ../root_data/trace_run118.root,     102171,   633.18,    3183.496,      53.058,       0.884
                    ../root_data/trace_run119.root,     181550,  1952.67,    3476.413,      57.940,       0.966
                    ../root_data/trace_run120.root,      21592,   139.87,     411.882,       6.865,       0.114
                    ../root_data/trace_run121.root,     174347, 10676.03,    3537.153,      58.953,       0.983
                    ../root_data/trace_run122.root,     177445,  1195.60,    3492.780,      58.213,       0.970
                    ../root_data/trace_run123.root,     167812,  1020.45,    3508.690,      58.478,       0.975
                    ../root_data/trace_run124.root,      86388,   499.37,    2940.528,      49.009,       0.817
                    ../root_data/trace_run125.root,      86157,   495.24,    3565.116,      59.419,       0.990
                    ../root_data/trace_run126.root,     196838,  1262.35,    3448.696,      57.478,       0.958
                    ../root_data/trace_run127.root,     163949,   863.77,    3523.906,      58.732,       0.979
                    ../root_data/trace_run128.root,     127188,   343.87,    3594.230,      59.904,       0.998
                    ../root_data/trace_run129.root,      31864,   105.39,    3524.741,      58.746,       0.979
                    ../root_data/trace_run130.root,     120429,   646.89,    3230.881,      53.848,       0.897
                    ../root_data/trace_run131.root,     143500,   834.73,    3498.609,      58.310,       0.972
                    ../root_data/trace_run132.root,     134027,   799.13,    3466.151,      57.769,       0.963
                    ../root_data/trace_run133.root,     154721,   940.23,    3511.327,      58.522,       0.975
                    ../root_data/trace_run134.root,     131720,   810.01,    3155.966,      52.599,       0.877
                    ../root_data/trace_run135.root,      36911,   131.83,    3469.133,      57.819,       0.964
                    ../root_data/trace_run136.root,      35625,   124.27,    3521.866,      58.698,       0.978
                    ../root_data/trace_run137.root,      35987,   126.43,    3413.688,      56.895,       0.948
                    ../root_data/trace_run138.root,     153147,   936.03,    3591.141,      59.852,       0.998
                    ../root_data/trace_run139.root,     168848,  1031.21,    3583.505,      59.725,       0.995
                    ../root_data/trace_run140.root,     156530,   939.29,    3541.869,      59.031,       0.984
                    ../root_data/trace_run141.root,     165065,   984.26,    3528.339,      58.806,       0.980
                    ../root_data/trace_run142.root,     169534,   997.22,    3538.035,      58.967,       0.983
                    ../root_data/trace_run143.root,     191158,  4575.30,    3441.752,      57.363,       0.956
                    ../root_data/trace_run144.root,      96512,  1982.43,    1109.643,      18.494,       0.308
                    ../root_data/trace_run147.root,     171851,  1135.07,    3592.572,      59.876,       0.998
                    ../root_data/trace_run148.root,     134200,   824.20,    3100.595,      51.677,       0.861
                    ../root_data/trace_run149.root,      47182,   310.99,    3191.298,      53.188,       0.886
                    ../root_data/trace_run150.root,     169592,  1305.97,    3596.907,      59.948,       0.999
                    ../root_data/trace_run151.root,     142511,   993.79,    3584.688,      59.745,       0.996
                    ../root_data/trace_run152.root,     151946,  1125.39,    3550.851,      59.181,       0.986
                    ../root_data/trace_run153.root,     165736,  1291.08,    3508.335,      58.472,       0.975
                    ../root_data/trace_run154.root,     162994,  1268.10,    3588.659,      59.811,       0.997
                    ../root_data/trace_run155.root,     146699,  1102.74,    3599.457,      59.991,       1.000
