                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                      ../root_data/gen_run081.root,    1830883,   146.71,    2250.320,      37.505,       0.625
                      ../root_data/gen_run082.root,    2104100,   165.93,    2557.449,      42.624,       0.710
                      ../root_data/gen_run083.root,    2900425,   226.06,    3661.349,      61.022,       1.017
                      ../root_data/gen_run084.root,    1283892,   104.85,    2184.253,      36.404,       0.607
                      ../root_data/gen_run085.root,    1188169,   100.66,    1484.310,      24.739,       0.412
                      ../root_data/gen_run086.root,    1362031,   112.48,    1989.681,      33.161,       0.553
                      ../root_data/gen_run087.root,     477765,    46.98,     696.466,      11.608,       0.193
                      ../root_data/gen_run088.root,    1409748,   115.12,    2439.134,      40.652,       0.678
                      ../root_data/gen_run089.root,    2622385,   211.97,    2931.134,      48.852,       0.814
                      ../root_data/gen_run090.root,    2710270,   216.64,    3469.330,      57.822,       0.964
                      ../root_data/gen_run091.root,    1248647,   105.47,    1810.026,      30.167,       0.503
                      ../root_data/gen_run092.root,     608782,    57.61,     763.245,      12.721,       0.212
                      ../root_data/gen_run093.root,    5151371,   374.50,    7673.776,     127.896,       2.132
                      ../root_data/gen_run094.root,    2401767,   168.60,    4047.222,      67.454,       1.124
                      ../root_data/gen_run095.root,    3320371,   278.31,    3333.534,      55.559,       0.926
                      ../root_data/gen_run096.root,    2505146,   213.05,    2600.513,      43.342,       0.722
                      ../root_data/gen_run097.root,    2496601,   215.28,    2158.674,      35.978,       0.600
                      ../root_data/gen_run098.root,    2504568,   213.03,    2214.708,      36.912,       0.615
                      ../root_data/gen_run099.root,    2512379,   214.46,    2239.878,      37.331,       0.622
                      ../root_data/gen_run100.root,     298788,    35.26,     307.053,       5.118,       0.085
                      ../root_data/gen_run101.root,    2551061,   212.76,    2523.246,      42.054,       0.701
                      ../root_data/gen_run102.root,    2570796,   214.43,    2878.126,      47.969,       0.799
                      ../root_data/gen_run103.root,    2575169,   214.87,    2882.987,      48.050,       0.801
                      ../root_data/gen_run104.root,    2554239,   214.12,    2793.780,      46.563,       0.776
                      ../root_data/gen_run105.root,    1759410,   153.21,    1708.657,      28.478,       0.475
                      ../root_data/gen_run106.root,     322308,    35.70,     748.806,      12.480,       0.208
                      ../root_data/gen_run107.root,    2713256,   216.58,    3815.847,      63.597,       1.060
                      ../root_data/gen_run108.root,    2681466,   215.77,    3215.998,      53.600,       0.893
                      ../root_data/gen_run109.root,    2648018,   215.41,    2925.460,      48.758,       0.813
                      ../root_data/gen_run110.root,    2648010,   216.35,    2788.817,      46.480,       0.775
                      ../root_data/gen_run111.root,    2325912,   195.22,    2361.088,      39.351,       0.656
                      ../root_data/gen_run112.root,     229048,    30.33,     224.175,       3.736,       0.062
                      ../root_data/gen_run113.root,    2409963,   203.75,    2419.321,      40.322,       0.672
                      ../root_data/gen_run114.root,    5974493,   431.84,    7085.420,     118.090,       1.968
                      ../root_data/gen_run115.root,    3847822,   261.62,    4566.848,      76.114,       1.269
                      ../root_data/gen_run116.root,    2493642,   212.00,    2053.411,      34.224,       0.570
                      ../root_data/gen_run117.root,    2465880,   212.76,    1867.223,      31.120,       0.519
                      ../root_data/gen_run118.root,    2478797,   213.08,    1955.109,      32.585,       0.543
                      ../root_data/gen_run119.root,    2461305,   210.36,    2016.467,      33.608,       0.560
                      ../root_data/gen_run120.root,    2517988,   215.64,    1717.074,      28.618,       0.477
                      ../root_data/gen_run121.root,    1461690,   130.79,    2398.841,      39.981,       0.666
                      ../root_data/gen_run122.root,    2557110,   214.86,    2303.292,      38.388,       0.640
                      ../root_data/gen_run123.root,    2355396,   209.09,    1626.500,      27.108,       0.452
                      ../root_data/gen_run124.root,    3661399,   327.74,    2388.752,      39.813,       0.664
                      ../root_data/gen_run125.root,    2557073,   214.73,    2498.219,      41.637,       0.694
                      ../root_data/gen_run126.root,    2494721,   215.05,    2210.066,      36.834,       0.614
                      ../root_data/gen_run127.root,    2550364,   217.72,    2259.401,      37.657,       0.628
                      ../root_data/gen_run128.root,    2515316,   213.58,    2826.156,      47.103,       0.785
                      ../root_data/gen_run131.root,    1571949,   129.13,    4461.284,      74.355,       1.239
                      ../root_data/gen_run132.root,    1644299,   140.65,    4131.260,      68.854,       1.148
                      ../root_data/gen_run133.root,    1629434,   129.21,    4568.276,      76.138,       1.269
                      ../root_data/gen_run134.root,    1007276,    90.29,    2120.205,      35.337,       0.589
