z,0,1,2,3,4,5,6,7,8,9,10,11
-446.000000,6.547104,5.817545,4.898524,4.288964,3.821545,3.476204,3.068719,2.252828,2.093327,0.911620,0.702753,None
-445.000000,6.564394,5.834957,4.916095,4.306756,3.839649,3.494590,3.087819,2.279963,2.120409,0.938271,0.729321,None
-444.000000,6.581684,5.852368,4.933667,4.324548,3.857753,3.512976,3.106807,2.306716,2.147491,0.964922,0.755888,None
-443.000000,6.598974,5.869743,4.951238,4.342340,3.875838,3.531361,3.125795,2.331814,2.174573,0.991573,0.782456,None
-442.000000,6.616264,5.887109,4.968810,4.360131,3.893822,3.549747,3.144783,2.356457,2.201655,1.018224,0.809024,None
-441.000000,6.633554,5.904475,4.986381,4.377923,3.911806,3.568005,3.163665,2.380072,2.228737,1.044875,0.835592,None
-440.000000,6.650844,5.921841,5.003952,4.395662,3.929790,3.586236,3.182416,2.403479,2.255818,1.071526,0.862160,None
-439.000000,6.668134,5.939207,5.021506,4.413369,3.947774,3.604468,3.201168,2.425974,2.281595,1.098177,0.888728,None
-438.000000,6.685423,5.956573,5.039016,4.431077,3.965759,3.622699,3.219920,2.448469,2.306654,1.124828,0.915296,None
-437.000000,6.702713,5.973939,5.056527,4.448785,3.983725,3.640930,3.238664,2.470245,2.330583,1.151479,0.941864,None
-436.000000,6.719994,5.991305,5.074037,4.466493,4.001603,3.659092,3.257213,2.491870,2.354168,1.178130,0.968432,None
-435.000000,6.737249,6.008671,5.091548,4.484201,4.019482,3.677188,3.275761,2.513336,2.377029,1.204781,0.994999,None
-434.000000,6.754505,6.026037,5.109059,4.501908,4.037360,3.695284,3.294310,2.534270,2.399500,1.231432,1.021567,None
-433.000000,6.771761,6.043367,5.126569,4.519575,4.055239,3.713380,3.312858,2.555205,2.421716,1.258083,1.048135,None
-432.000000,6.789017,6.060693,5.144080,4.537208,4.073117,3.731476,3.331346,2.575919,2.443322,1.284734,1.074703,None
-431.000000,6.806272,6.078018,5.161590,4.554841,4.090996,3.749572,3.349719,2.596295,2.464928,1.311385,1.101271,None
-430.000000,6.823528,6.095343,5.179050,4.572474,4.108794,3.767563,3.368092,2.616671,2.486050,1.338036,1.127839,None
-429.000000,6.840784,6.112668,5.196506,4.590107,4.126579,3.785541,3.386464,2.636902,2.506968,1.364687,1.154407,None
-428.000000,6.858040,6.129993,5.213962,4.607740,4.144364,3.803518,3.404837,2.656820,2.527887,1.391339,1.180975,None
-427.000000,6.875295,6.147318,5.231418,4.625372,4.162149,3.821495,3.423154,2.676739,2.548320,1.417990,1.207543,None
-426.000000,6.892551,6.164643,5.248874,4.643000,4.179934,3.839472,3.441373,2.696657,2.568683,1.444641,1.234110,None
-425.000000,6.909807,6.181968,5.266329,4.660566,4.197719,3.857449,3.459593,2.716196,2.589046,1.471292,1.260678,None
-424.000000,6.927043,6.199293,5.283785,4.678132,4.215488,3.875328,3.477813,2.735734,2.609042,1.497943,1.287246,None
-423.000000,6.944268,6.216601,5.301241,4.695697,4.233190,3.893200,3.496033,2.755272,2.628949,1.524594,1.313814,None
-422.000000,6.961493,6.233889,5.318691,4.713263,4.250891,3.911072,3.514239,2.774673,2.648856,1.551245,1.340382,None
-421.000000,6.978717,6.251176,5.336098,4.730829,4.268593,3.928945,3.532325,2.793891,2.668576,1.577896,1.366950,None
-420.000000,6.995942,6.268464,5.353504,4.748395,4.286295,3.946817,3.550411,2.813110,2.688105,1.604547,1.393518,None
-419.000000,7.013166,6.285752,5.370910,4.765961,4.303996,3.964689,3.568497,2.832329,2.707634,1.631198,1.420086,None
-418.000000,7.030391,6.303040,5.388317,4.783513,4.321698,3.982500,3.586583,2.851383,2.727163,1.657849,1.446654,None
-417.000000,7.047616,6.320328,5.405723,4.801019,4.339387,4.000279,3.604669,2.870331,2.746394,1.684500,1.473222,None
-416.000000,7.064840,6.337615,5.423130,4.818524,4.357015,4.018059,3.622694,2.889280,2.765605,1.711151,1.499789,None
-415.000000,7.082065,6.354903,5.440536,4.836030,4.374642,4.035838,3.640662,2.908228,2.784816,1.737802,1.526357,None
-414.000000,7.099289,6.372191,5.457942,4.853535,4.392270,4.053617,3.658631,2.927054,2.803993,1.764453,1.552925,0.516986
-413.000000,7.116514,6.389479,5.475349,4.871041,4.409897,4.071397,3.676599,2.945771,2.822934,1.791104,1.579493,0.543112
-412.000000,7.133728,6.406749,5.492717,4.888547,4.427524,4.089172,3.694567,2.964489,2.841876,1.817755,1.606061,0.569239
-411.000000,7.150924,6.424003,5.510079,4.906052,4.445152,4.106868,3.712536,2.983206,2.860817,1.844406,1.632629,0.595365
-410.000000,7.168120,6.441257,5.527440,4.923558,4.462779,4.124565,3.730438,3.001886,2.879746,1.871057,1.659197,0.621492
-409.000000,7.185317,6.458511,5.544802,4.941012,4.480355,4.142262,3.748303,3.020405,2.898457,1.897708,1.685765,0.647618
-408.000000,7.202513,6.475765,5.562164,4.958463,4.497916,4.159959,3.766168,3.038924,2.917168,1.924359,1.712333,0.673745
-407.000000,7.219709,6.493019,5.579526,4.975915,4.515477,4.177656,3.784032,3.057443,2.935880,1.951010,1.738900,0.699871
-406.000000,7.236905,6.510273,5.596887,4.993366,4.533038,4.195353,3.801897,3.075961,2.954591,1.977661,1.765468,0.725997
-405.000000,7.254101,6.527527,5.614249,5.010817,4.550599,4.213043,3.819761,3.094382,2.973159,2.003936,1.792036,0.752124
-404.000000,7.271298,6.544781,5.631611,5.028269,4.568160,4.230666,3.837587,3.112728,2.991673,2.028675,1.818604,0.778250
-403.000000,7.288494,6.562035,5.648967,5.045720,4.585721,4.248289,3.855360,3.131075,3.010186,2.052941,1.845172,0.804377
-402.000000,7.305690,6.579289,5.666288,5.063172,4.603282,4.265912,3.873132,3.149422,3.028700,2.076280,1.871740,0.830503
-401.000000,7.322886,6.596541,5.683610,5.080610,4.620783,4.283535,3.890905,3.167769,3.047192,2.099356,1.898308,0.856630
-400.000000,7.340082,6.613764,5.700931,5.098012,4.638284,4.301158,3.908678,3.186014,3.065534,2.121633,1.924876,0.882756
-399.000000,7.357265,6.630987,5.718252,5.115415,4.655786,4.318782,3.926450,3.204211,3.083876,2.143909,1.951444,0.908883
-398.000000,7.374435,6.648211,5.735574,5.132818,4.673287,4.336405,3.944223,3.222408,3.102219,2.165418,1.976218,0.935009
-397.000000,7.391606,6.665434,5.752895,5.150220,4.690788,4.353978,3.961924,3.240605,3.120561,2.186866,2.000768,0.961135
-396.000000,7.408776,6.682657,5.770216,5.167623,4.708290,4.371535,3.979615,3.258802,3.138867,2.208067,2.024059,0.987262
-395.000000,7.425946,6.699880,5.787538,5.185025,4.725791,4.389092,3.997306,3.276934,3.157060,2.228856,2.047343,1.013388
-394.000000,7.443116,6.717103,5.804859,5.202428,4.743292,4.406649,4.014997,3.295000,3.175253,2.249645,2.069581,1.039515
-393.000000,7.460286,6.734326,5.822180,5.219830,4.760749,4.424207,4.032688,3.313066,3.193446,2.270117,2.091820,1.065641
-392.000000,7.477457,6.751549,5.839467,5.237227,4.778197,4.441764,4.050378,3.331132,3.211639,2.290372,2.113491,1.091768
-391.000000,7.494627,6.768772,5.856752,5.254585,4.795645,4.459321,4.068069,3.349198,3.229823,2.310627,2.134908,1.117894
-390.000000,7.511797,6.785995,5.874036,5.271943,4.813092,4.476876,4.085689,3.367262,3.247885,2.330628,2.156229,1.144021
