z,e
-353.662,4.37138
-394.14,7.49401
-378.027,5.59843
-373.313,4.85016
-382.371,4.18737
-352.823,6.9286
-396.582,4.30172
-358.722,5.07596
-356.654,4.34116
-363.267,7.98487
-368.126,4.99819
-398.035,4.38689
-376.007,4.76997
-386.865,4.80391
-376.784,4.8343
-375.18,7.16592
-365.045,4.47628
-374.333,4.71096
-365.899,4.97736
-373.318,4.85305
-362.088,4.62902
-394.265,6.68742
-361.637,5.00531
-357.892,5.06205
-362.518,5.06158
-364.19,5.03506
-386.121,4.63542
-373.621,7.37221
-389.643,4.89776
-364.554,8.23174
-365.08,7.1855
-392.366,5.42805
-389.587,4.2232
-383.72,4.39336
-359.817,5.57984
-385.035,4.63103
-389.492,7.05881
-356.053,7.48092
-359.702,5.08052
-352.331,5.98941
-385.676,7.36102
-387.427,4.53728
-367.215,5.78884
-357.862,4.72864
-368.366,4.86108
-389.92,4.56401
-356.242,4.37604
-389.009,4.58551
-360.202,7.3864
-372.414,6.92506
-385.527,4.64594
-393.436,5.21643
-374.32,4.39075
-367.84,5.96487
-380.266,4.71656
-367.177,4.97421
-394.881,4.36587
-370.053,4.85282
-379.03,4.74818
-366.398,6.37664
-359.648,6.61101
-356.524,5.14837
-366.851,4.50286
-388.848,7.73348
-364.337,5.79945
-358.297,5.10249
-353.315,6.60013
-379.124,7.96799
-360.308,5.09395
-352.133,8.22327
-387.528,5.75184
-362.422,7.86569
-381.101,7.67604
-361.073,5.02395
-358.26,5.07509
-361.503,4.67205
-372.701,4.39219
-372.111,4.85774
-356.245,4.02526
-361.205,4.97881
-352.188,7.51252
-355.06,7.93729
-387.184,4.0132
-388.332,6.76235
-365.09,4.8574
-365.767,4.98534
-368.662,4.89066
-353.815,7.5541
-356.708,5.11289
-378.8,4.72224
-396.959,4.10281
-371.745,7.15799
-394.125,4.44676
-359.379,5.41397
-361.198,7.47837
-382.054,5.00989
-357.446,4.78008
-365.606,4.8376
-361.19,4.06626
-352.401,5.16169
-371.767,6.07863
-355.573,5.00924
-383.627,6.96116
-369.668,4.76189
-367.536,6.11941
-382.863,4.66577
-353.018,5.02049
-380.827,4.29147
-366.26,6.32223
-392.196,4.48542
-369.022,4.9284
-388.413,4.72173
-373.682,4.87159
-354.581,7.50184
-395.454,4.37819
-397.025,7.48784
-384.909,7.6114
-371.27,4.90164
-374.508,6.41979
-386.685,6.93185
-395.747,4.4449
-397.799,4.41814
-372.117,4.43458
-374.811,7.12872
-358.37,5.08536
-372.047,8.22625
-359.848,4.61716
-371.939,4.85873
-365.545,4.99698
-353.041,4.97184
-366.331,7.25028
-360.735,4.42481
-368.7,4.9393
-392.859,7.06428
-379.347,4.76835
-362.68,4.9135
-387.502,4.91603
-381.694,4.60054
-368.378,4.90796
-363.605,4.96682
-369.107,4.84148
-362.237,5.05122
-389.809,4.59901
-373.785,4.79963
-355.925,4.79381
-393.893,4.42504
-371.831,4.94046
-384.913,4.62799
-390.09,6.11266
-391.967,4.32113
-352.184,5.27101
-371.085,5.17323
-358.827,4.72098
-369.514,4.8602
-352.463,5.20167
-359.325,5.09257
-367.928,4.5906
-368.853,4.96228
-379.178,4.81639
-392.331,4.01201
-374.912,4.87391
-397.174,7.45247
-376.784,7.91265
-365.548,4.57067
-377.808,5.65835
-354.593,5.10472
-353.943,5.18967
-394.177,4.34958
-385.324,8.47103
-350.945,5.19394
-369.011,4.44727
-362.759,4.77304
-394.289,4.50589
-360.592,5.05125
-376.295,7.86316
-353.088,5.14857
-366.078,4.6391
-352.785,7.5747
-366.383,4.9246
-378.543,4.69437
-390.608,4.52675
-370.707,4.87062
-382.929,6.37059
-375.543,5.13415
-389.595,5.01638
-374.288,4.83336
-393.214,8.10229
-381.828,6.92862
-359.403,7.36724
-374.139,4.81772
-356.729,8.18081
-378.793,4.75385
-355.386,6.12587
-359.611,5.45345
-392.577,6.59095
-393.609,6.73137
-389.021,4.00822
-399.243,6.48682
-372.908,4.37007
-364.052,5.15118
-399.475,5.18888
-355.707,5.25273
-382.275,5.4163
-386.624,6.54306
-378.203,4.38397
-386.193,7.4202
-380.365,7.0259
-354.516,7.52141
-379.804,7.20728
-361.624,4.10684
-361.413,5.77064
-372.126,4.89101
-362.488,5.04405
-353.504,4.00404
-353.916,4.01528
-368.176,7.18194
-368.402,4.86529
