z,e
-366.244,2.57528
-356.957,3.71999
-369.824,3.90527
-388.962,4.11856
-381.244,4.52916
-366.374,4.41599
-379.838,2.68993
-353.154,2.98928
-368.117,3.55671
-379.395,5.70094
-397.359,3.72407
-372.926,7.06657
-397.637,4.14851
-365.852,4.17726
-390.629,2.1616
-378.261,7.52922
-360.941,4.84815
-356.719,2.85404
-378.867,4.55343
-370.518,4.71493
-352.3,2.92876
-352.154,8.09164
-351.576,3.00578
-397.545,7.05789
-387.152,2.20131
-393.851,2.1686
-391.035,3.98288
-354.215,2.8603
-356.372,2.09894
-370.056,2.13796
-377.472,2.56685
-380.427,4.53837
-355.441,4.89244
-379.877,3.8684
-385.757,4.88366
-370.527,3.99567
-387.447,7.37312
-373.693,2.52175
-372.794,2.58891
-352.468,2.92504
-356.072,7.95826
-351.089,7.35973
-352.866,2.25403
-398.169,2.15078
-367.491,4.00434
-380.686,1.82093
-377.924,3.91888
-378.928,4.89016
-381.123,3.38216
-393.883,2.66506
-350.747,1.89361
-391.814,2.19102
-390.871,3.40519
-391.585,3.96067
-390.024,2.35854
-366.112,2.44588
-395.62,3.77563
-379.847,4.16586
-351.784,3.85114
-359.285,4.26716
-377.935,6.94784
-368.481,3.85649
-352.776,5.01818
-396.085,3.81488
-359.491,3.84055
-394.931,1.92054
-378.307,2.44708
-369.979,1.76001
-390.847,3.10074
-361.117,4.92709
-388.259,4.37921
-369.768,3.08235
-368.907,4.69872
-355.911,7.1632
-362.839,3.57758
-372.68,2.59528
-366.74,2.28727
-360.935,2.60893
-357.218,4.82489
-391.853,3.99536
-379.629,2.43713
-370.994,3.09169
-379.727,4.2312
-365.558,6.33347
-397.219,3.06635
-378.463,5.53712
-368.696,4.30784
-377.644,4.33702
-367.783,3.39238
-355.577,2.81891
-389.805,8.18753
-359.467,4.1017
-378.928,5.6385
-369.161,4.65188
-388.477,2.17485
-376.182,4.27247
-379.991,1.81229
-377.284,4.57613
-350.827,4.1904
-359.676,4.46869
-396.428,7.17068
-368.835,3.89327
-356.647,4.93628
-396.012,3.10297
-373.192,3.93864
-387.939,2.34923
-353.414,2.65982
-370.082,2.71498
-380.378,1.9124
-399.144,1.90355
-373.486,2.39317
-367.101,4.13694
-351.168,4.3158
-379.769,1.84386
-364.037,3.78765
-365.894,2.81855
-376.215,5.11669
-371.782,2.70796
-380.717,3.54926
-363.964,3.58165
-393.712,3.88279
-398.253,3.75589
-371.066,6.33926
-378.999,3.80458
-397.392,2.98103
-367.168,2.27062
-389.178,4.38248
-397.933,4.16876
-376.665,1.87167
-389.722,2.18106
-396.569,4.33313
-359.096,3.75571
-395.158,2.42816
-360.956,4.97716
-373.614,4.51495
-360.656,1.78584
-389.865,2.31321
-355.029,2.67158
-376.739,4.62938
-379.249,2.26231
-374.266,4.49468
-389.073,4.34336
-393.769,3.17756
-364.916,4.32424
-357.036,2.89833
-358.241,3.6061
-390.323,2.25935
-376.631,2.53897
-399.129,2.92666
-392.444,4.29332
-368.552,1.98795
-387.432,6.82296
-351.838,4.66999
-388.45,4.4724
-376.733,4.71945
-355.787,2.42502
-394.022,8.385
-355.752,5.00933
-369.53,4.66499
-361.857,5.37301
-370.328,3.45062
-358.317,5.00796
-381.168,3.84501
-355.871,2.57911
-381.949,3.51836
-360.907,1.97051
-371.429,4.07871
-368.2,1.97152
-371.234,4.78463
-386.385,6.66754
-393.415,3.94023
-377.571,4.54499
-366.021,4.80035
-397.353,2.17897
-381.52,2.18057
-390.564,3.03168
-355.952,7.95033
-353.833,2.96722
-365.659,4.38499
-393.026,2.13389
-382.085,2.45073
-390.109,2.25077
-376.077,2.18206
-398.174,4.78839
-390.944,4.32478
-369.009,4.41669
-398.432,4.14117
-392.802,1.96097
-389.01,4.40689
-373.603,2.23671
-396.46,2.12288
-353.104,3.9541
-350.777,2.79484
-370.612,2.57878
-368.624,3.93568
-382.249,3.616
-362.727,2.40695
-386.846,2.20471
-395.827,6.56879
-381.02,4.57113
-397.072,3.96215
-370.367,4.25694
-356.046,1.93314
-395.167,6.04727
-373.5,3.41907
-381.987,6.62423
-372.449,2.48273
-375.801,2.57309
-396.121,4.17445
-372.403,2.31952
-350.551,3.72042
-380.927,6.98516
-391.328,2.30124
-385.364,2.31548
-382.189,3.69104
-362.702,2.70693
-354.027,2.97548
-360.704,5.62581
-386.221,2.18861
-372.5,3.54535
-377.255,1.91401
-360.126,4.87902
-399.176,4.23763
-387.592,8.29224
-381.649,2.39697
-380.232,5.99355
-381.413,2.75638
-365.995,3.94096
-399.422,1.98565
-373.983,6.80042
-366.513,4.29269
-378.801,3.75883
-352.121,3.86146
-368.592,2.1689
-352.203,5.07798
-381.276,3.49624
-361.377,4.42405
-373.035,4.89343
-389.157,3.21016
-363.883,4.29592
-382.267,4.54249
-373.761,3.25279
-395.667,2.22545
-368.696,7.80922
-379.87,3.44333
-382.124,4.32669
-394.55,2.11588
-393.1,3.50206
-396.662,3.81271
-367.068,2.71689
-377.051,2.54789
-395.708,6.50299
-353.962,2.1683
-376.149,4.9044
-364.675,2.68638
-390.88,4.0004
-380.49,3.58019
-392.85,2.1201
-398.544,4.1522
-388.16,4.34043
-387.648,4.04565
-353.14,2.65028
-380.089,1.82975
-397.183,4.1613
-373.875,4.58631
-372.604,7.23555
-370.151,4.6837
-379.938,3.7645
-390.32,4.33346
-377.823,2.50048
-359.717,2.78493
-368.988,2.32474
-351.724,5.10216
-367.988,3.16449
-356.653,4.96028
-365.531,6.38212
-354.961,1.74907
-392.301,2.99726
-381.911,2.79276
-353.545,4.89573
-365.866,3.68482
-391.627,5.28726
-357.784,3.75766
-381.403,3.40821
-361.084,4.48371
-383.104,3.50631
-399.126,3.88496
-392.646,4.30865
-352.69,4.65073
-388.476,5.57429
-351.045,3.74489
-351.404,2.81991
-391.713,2.27655
-383.878,7.25483
-377.485,2.2198
-360.936,7.79658
-371.55,4.00183
-369.466,2.47347
-358.053,2.73163
-382.268,1.8525
-389.866,3.1767
-376.985,1.83552
-392.21,2.02673
-364.468,1.69806
-390.552,5.19831
-398.204,3.97172
-370.16,3.5882
-387.004,3.95514
-397.255,3.12451
-374.041,4.21297
-378.895,3.47446
-389.197,7.21044
-352.805,2.83266
-350.868,4.39256
-381.343,2.09548
-367.083,6.12247
-392.927,6.94378
-389.372,4.34099
-354.06,5.32228
-398.565,3.84033
-379.645,4.11881
-363.971,2.06579
-366.676,3.02959
-391.997,2.2747
-353.588,5.1147
-360.425,2.60392
-398.235,2.06056
-370.027,4.83483
-380.288,2.70573
-363.881,1.98155
-372.903,4.32411
-358.595,3.92092
-368.974,3.53423
-396.641,4.26378
-353.081,5.04133
-377.805,2.03593
-381.249,2.48367
-394.738,4.20723
-359.761,2.29762
-379.122,3.34436
-376.443,2.53947
-378.835,3.37198
-356.905,5.00203
-354.914,2.72299
-375.441,2.58192
-368.481,2.26479
-353.804,2.04261
-362.022,2.87408
-351.074,5.01331
-379.794,2.46227
-389.504,2.00644
-380.133,2.02303
-392.011,2.54264
-381.201,4.5198
-379.887,2.11154
-397.319,4.3229
-383.777,3.65675
-369.512,1.68073
-387.458,3.69259
-398.758,3.19852
-354.366,3.58525
-350.516,1.95922
-356.713,3.90049
-394.389,4.38922
-370.241,2.47194
-357.977,2.86073
-376.062,1.83598
-388.909,7.34113
-370.37,3.75781
-371.4,2.5113
-352.021,5.76669
-368.137,4.16605
-391.254,2.23895
-395.005,5.04209
-394.797,3.9778
-371.86,6.6042
-359.658,4.43328
-371.724,2.37953
-366.822,4.2036
-371.763,2.86684
-386.308,3.92413
-380.798,3.7702
-378.52,2.45297
-368.925,3.64563
-359.221,4.50502
-390.457,6.60492
-390.345,3.14572
-371.633,2.13336
-356.248,6.40451
-387.362,3.34291
-370.243,4.66422
-376.307,1.93068
-381.196,4.24383
-367.764,4.20509
-388.571,4.37558
-398.805,2.14948
-380.245,6.11935
-375.953,3.43512
-381.205,4.52903
-380.733,2.38544
-367.29,2.36817
-374.027,2.41858
-392.766,2.04531
-392.207,2.16819
-391.687,3.98091
-394.67,4.25951
-390.573,3.17048
-362.402,2.10118
-355.196,2.8254
-366.37,4.2647
-389.629,2.33674
-377.452,2.43771
-364.338,6.94708
-368.524,2.5175
-394.195,2.25349
-380.1,3.79352
-372.658,3.6051
-383.035,2.07063
-390.927,1.90548
-379.216,2.4497
-386.8,4.69383
-392.962,3.1283
-369.488,4.15142
-387.295,4.39147
-359.848,4.41048
-353.683,3.00603
-383.448,2.26256
-378.13,1.83006
-357.883,4.99431
-357.671,7.12618
-379.992,3.70382
-372.789,4.69562
-370.952,4.794
-394.721,4.37272
-381.647,4.2647
-379.094,6.81133
-394.254,3.03506
-373.984,4.47894
-359.475,2.70809
-369.13,2.17997
-391.444,3.99107
-371.553,4.1761
-365.886,6.37381
-355.175,2.75521
-397.339,2.10532
-392.991,2.78179
-377.655,2.43607
-376.475,2.41892
-354.118,4.52971
-399.217,4.19992
-355.243,5.00412
-358.601,2.93504
-387.292,2.3433
-387.867,2.13802
-368.104,5.03204
-380.597,3.34923
-370.152,2.51556
-379.56,3.20571
-354.425,5.05326
-367.215,2.32834
-350.633,4.67642
-363.637,3.53441
-367.985,2.40127
-379.378,8.43105
-389.481,2.2531
-360.125,3.72401
-399.438,2.07011
-392.812,4.62874
-392.742,2.20478
-354.166,3.88563
-380.744,3.77094
-390.416,2.30344
-375.004,4.15661
-372.017,4.40807
-366.349,4.98886
-354.029,1.9963
-372.696,5.02571
-388.518,4.3977
-392.568,3.19643
-389.781,7.4403
-365.501,4.81458
-395.011,3.93538
-388.357,4.41596
-357.985,3.68841
-355.723,2.70403
-389.656,2.2897
-377.238,4.16384
-389.62,4.28511
-378.361,3.78902
-369.583,4.04924
-371.179,4.03831
-359.805,5.05399
-353.956,2.89659
-372.328,4.54412
-393.355,4.39339
-373.827,3.65183
-394.098,2.387
-354.985,7.74327
-379.346,4.61117
-381.471,4.14513
-353.612,4.64762
-385.949,4.31545
-393.335,2.16609
-369.297,4.82949
-399.192,4.74402
-394.532,4.27298
-371.493,2.3724
-372.756,3.11298
-379.593,4.56244
-380.025,3.08831
-350.692,5.36526
-360.406,5.62856
-377.04,4.66112
-353.142,4.74243
-379.42,4.54663
-356.072,1.63197
-373.082,4.19012
-369.759,4.38353
-372.249,4.57579
-380.822,4.60632
-373.08,7.99848
-372.298,4.37271
-393.094,7.33809
-380.833,2.04715
-369.778,2.70256
-357.259,6.59375
