//___208Pb(d,p)209Pb____7.5MeV/u
#===========================_0.000_1g9/2
20.067    0.000      0.52793    0.000  
24.883    0.000      0.96005    0.000 
29.298    0.000      1.1301     0.000 
34.114    0.000      1.3303     0.000 
38.528    0.000      1.5660     0.000 
43.344    0.000      1.8942     0.000 
47.358    0.000      1.8942     0.000 
51.773    0.000      1.7939     0.000 
56.589    0.000      1.7458     0.000 
61.405    0.000      1.4046     0.000 
65.819    0.000      1.3303     0.000 
69.833    0.000      1.2946     0.000 
75.050    0.000      1.2599     0.000 
79.064    0.000      1.1613     0.000 
83.478    0.000      1.0137     0.000 
87.893    0.000      0.96005    0.000 
93.110    0.000      0.77242    0.000 
101.94    0.000      0.65618    0.000 
110.77    0.000      0.41337    0.000 
#===========================_0.779_0i11/2
15.529    0.000      0.071276   0.000 
20.291    0.000      0.038225   0.000 
24.772    0.000      0.081614   0.000 
29.168    0.000      0.065712   0.000 
34.003    0.000      0.081614   0.000 
38.458    0.000      0.12935    0.000 
43.283    0.000      0.14415    0.000 
52.136    0.000      0.18900    0.000 
56.541    0.000      0.16959    0.000 
60.954    0.000      0.16506    0.000 
65.387    0.000      0.20501    0.000 
70.177    0.000      0.15218    0.000 
74.592    0.000      0.15218    0.000 
79.411    0.000      0.15636    0.000 
83.825    0.000      0.15636    0.000 
87.839    0.000      0.15636    0.000 
92.648    0.000      0.14415    0.000 
101.87    0.000      0.13290    0.000 
110.66    0.000      0.079433   0.000 
#===========================_1.423_0j15/2
10.707    0.000      0.079025   0.000 
15.486    0.000      0.069337   0.000 
20.339    0.000      0.079025   0.000 
24.451    0.000      0.11103    0.000 
29.237    0.000      0.10000    0.000 
34.091    0.000      0.11397    0.000 
38.127    0.000      0.12328    0.000 
47.350    0.000      0.12009    0.000 
52.280    0.000      0.17779    0.000 
56.346    0.000      0.21352    0.000 
61.140    0.000      0.19740    0.000 
69.939    0.000      0.17779    0.000 
74.755    0.000      0.17779    0.000 
79.124    0.000      0.15197    0.000 
83.516    0.000      0.14050    0.000 
87.954    0.000      0.15197    0.000 
92.361    0.000      0.14805    0.000 
101.58    0.000      0.14422    0.000 
110.74    0.000      0.11103    0.000 
#===========================_1.567_2d5/2
11.237    0.000      2.1699     0.000 
16.054    0.000      2.1117     0.000 
20.870    0.000      2.5543     0.000 
25.284    0.000      3.2623     0.000 
29.699    0.000      4.6450     0.000 
34.916    0.000      5.6185     0.000 
38.930    0.000      6.4365     0.000 
43.746    0.000      6.4365     0.000 
47.759    0.000      6.0959     0.000 
52.575    0.000      5.7734     0.000 
56.990    0.000      5.6185     0.000 
61.806    0.000      5.6185     0.000 
66.221    0.000      4.9045     0.000 
70.635    0.000      4.2813     0.000 
75.050    0.000      3.8402     0.000 
79.465    0.000      3.3522     0.000 
83.880    0.000      3.0068     0.000 
88.696    0.000      2.8477     0.000 
93.110    0.000      2.4858     0.000 
102.34    0.000      2.0000     0.000 
111.17    0.000      1.2261     0.000 
#===========================_2.032_3s1/2
11.639    0.000      0.10857    0.000   
16.455    0.000      0.26102    0.000   
20.870    0.000      0.73969    0.000   
24.883    0.000      1.3154     0.000   
30.100    0.000      1.2798     0.000   
34.515    0.000      1.4678     0.000   
38.930    0.000      1.5936     0.000   
43.746    0.000      2.1544     0.000   
48.161    0.000      2.8339     0.000   
52.977    0.000      3.2502     0.000   
56.990    0.000      3.0768     0.000   
61.806    0.000      2.9126     0.000   
66.622    0.000      2.6827     0.000   
70.635    0.000      2.4709     0.000   
75.452    0.000      2.2143     0.000   
79.866    0.000      1.9307     0.000   
84.281    0.000      1.5086     0.000   
89.097    0.000      1.5505     0.000   
93.110    0.000      1.2798     0.000   
102.34    0.000      0.97296    0.000   
111.57    0.000      0.56234    0.000   
#===========================_2.491_1g7/2
11.610    0.000      0.21063    0.000 
16.455    0.000      0.29155    0.000 
20.929    0.000      0.57388    0.000 
25.372    0.000      0.79433    0.000 
29.838    0.000      1.4415     0.000 
34.270    0.000      1.7425     0.000 
38.701    0.000      2.1063     0.000 
43.540    0.000      2.7617     0.000 
48.352    0.000      2.6161     0.000 
52.375    0.000      2.9155     0.000 
57.186    0.000      2.7617     0.000 
61.594    0.000      2.5461     0.000 
65.996    0.000      2.2236     0.000 
70.815    0.000      2.2847     0.000 
75.211    0.000      1.8395     0.000 
79.630    0.000      1.9419     0.000 
84.432    0.000      1.6506     0.000 
88.438    0.000      1.5218     0.000 
93.231    0.000      1.1607     0.000 
102.03    0.000      0.86158    0.000 
111.26    0.000      0.77310    0.000 
#===========================_2.538_2d3/2
11.237    0.000      0.62064    0.000 
16.054    0.000      0.63942    0.000 
20.468    0.000      1.0303     0.000 
25.284    0.000      1.2321     0.000 
29.699    0.000      2.3043     0.000 
34.515    0.000      3.4978     0.000 
38.528    0.000      4.5743     0.000 
42.943    0.000      4.8553     0.000 
47.358    0.000      5.3096     0.000 
52.174    0.000      5.3096     0.000 
56.589    0.000      5.3096     0.000 
61.405    0.000      4.3095     0.000 
65.819    0.000      4.1829     0.000 
70.635    0.000      3.7127     0.000 
75.050    0.000      3.1046     0.000 
79.465    0.000      2.6747     0.000 
83.880    0.000      2.4458     0.000 
88.294    0.000      2.1071     0.000 
92.709    0.000      2.0452     0.000 
101.94    0.000      1.3881     0.000 
110.77    0.000      0.78781    0.000 
