z,e
-291.812,3.36468
-332.556,3.15069
-297.403,3.75919
-307.331,5.84074
-306.302,4.59437
-298.544,5.85467
-298.774,5.5143
-299.583,3.83137
-305.99,4.19682
-310.149,3.04734
-322.09,5.16191
-291.231,6.05184
-328.873,3.3578
-299.178,4.55622
-332.092,7.36953
-295.108,8.06289
-315.873,5.60638
-318.715,5.50366
-302.926,5.55766
-301.127,5.54447
-328.762,5.00704
-305.675,5.47068
-326.712,5.15914
-329.298,4.90039
-330.473,5.4059
-330.547,7.37357
-302.849,4.32559
-338.843,4.64291
-316.72,5.69567
-306.994,8.12036
-303.798,5.9158
-328.563,6.36263
-302.495,3.59853
-318.786,5.57645
-307.882,7.28215
-308.044,5.7337
-319.518,5.60908
-334.801,4.98457
-320.771,5.33634
-294.369,3.5311
-323.077,5.5146
-329.649,4.47929
-303.556,5.81484
-336.473,5.22929
-327.125,3.41137
-330.709,7.6331
-312.086,5.31926
-307.277,3.77879
-309.473,3.13439
-295.597,3.71814
-296.159,4.78187
-312.207,8.07941
-319.875,5.50434
-293.283,4.40111
-294.838,5.96727
-301.544,6.39253
-298.11,5.93914
-313.969,5.56158
-303.063,5.85225
-317.475,5.54262
-302.486,3.687
-318.589,3.33289
-308.419,5.79624
-312.779,7.66953
-337.673,5.26415
-318.64,5.57673
-307.746,5.73789
-331.682,3.67739
-291.98,4.86721
-321.16,5.14
-308.88,7.97364
-303.299,5.85668
-317.905,5.55877
-336.632,3.81252
-293.129,5.60341
-297.872,8.0993
-322.739,5.44027
-309.17,8.10945
-331.636,7.59352
-319.727,5.64235
-320.18,4.03315
-309.936,4.84835
-336.312,4.84247
-305.707,5.86675
-291.934,5.40922
-299.648,5.60911
-323.843,5.51769
-309.468,3.4861
-328.767,4.16079
-305.352,3.67561
-306.624,4.51698
-322.018,5.54028
-311.516,5.2586
-317.816,3.46711
-329.791,8.44806
-316.743,4.52841
-299.724,4.47291
-290.957,4.152
-299.24,5.30654
-321.962,5.54594
-293.752,5.96543
-316.768,3.36282
-333.086,7.03144
-304.597,5.70334
-336.426,5.30854
-307.025,5.52642
-316.863,3.4057
-335.026,5.32405
-331.851,3.79341
-333.654,3.16361
-320.764,5.46036
-318.99,4.5483
-306.651,3.93371
-312.319,5.3687
-299.779,8.40452
-316.995,5.61093
-292.722,4.93404
-313.57,6.09216
-336.415,3.10593
-323.997,8.2433
-323.108,3.22099
-300.918,8.52681
-292.216,8.42954
-292.909,3.19029
-292.31,7.94552
-311.718,5.13657
-306.716,3.18146
-330.509,3.90741
-328.829,4.11926
-320.055,5.55987
-307.462,3.77495
-305.37,5.81946
-291.87,6.12212
-307.683,4.33476
