z,e
-290.946,4.73949
-337.224,7.8201
-319.501,4.69901
-294.812,5.28682
-291.601,6.91234
-298.153,6.15714
-291.506,6.35485
-307.096,5.98702
-316.179,5.16133
-316.418,4.81616
-328.946,4.1748
-330.821,4.15748
-324.915,5.66188
-303.147,5.6995
-337.113,5.08526
-320.342,5.59515
-306.185,7.84227
-315.808,5.22294
-321.455,5.74608
-302.39,6.1821
-331.158,5.62676
-291.337,6.32814
-315.555,4.76451
-309.435,6.14808
-306.795,6.01559
-299.862,6.20183
-305.977,5.50945
-296.124,6.12615
-323.2,4.44052
-296.031,6.25427
-298.966,6.16357
-319.811,5.37305
-330.258,5.98283
-327.771,4.33737
-312.315,5.7834
-297.914,4.90221
-308.778,5.8786
-299.049,4.63686
-335.535,5.65433
-311.328,5.59789
-296.481,5.01927
-293.004,8.5395
-296.815,4.98196
-293.163,6.68517
-328.965,5.35146
-302.396,6.08155
-323.329,5.59581
-335.802,4.18271
-338.035,4.28569
-331.878,5.62136
-315.832,8.04905
-316.398,5.28142
-306.767,5.99844
-298.32,4.96492
-329.777,5.74532
-302.581,6.30153
-319.155,5.72434
-327.611,5.64174
-333.241,5.49817
-320.908,5.24409
-295.632,6.86745
-331.672,5.61895
-301.333,6.9037
-309.393,5.58451
-312.151,4.56479
-326.379,5.77033
-302.975,6.12603
-328.765,4.80356
-307.264,5.3759
-306.881,8.28176
-304.405,5.01165
-324.317,4.5672
-292.673,7.3333
-302.001,4.95834
-319.316,8.35801
-306.705,4.83639
-300.727,6.17412
-328.348,5.70547
-298.524,5.46744
-311.449,5.71854
-299.81,6.83203
-320.853,5.45031
-308.842,6.00216
-331.993,6.54163
-312.066,5.99261
-334.934,5.20831
-333.24,7.39203
-311.761,8.26323
-295.467,6.28426
-312.505,4.63636
-309.107,5.53742
-337.796,5.26149
-309.401,8.9457
-308.453,8.99646
-337.464,5.15977
-308.192,5.25176
-300.361,6.40086
-329.703,5.71902
-334.208,8.8229
-332.615,5.15432
-312.622,8.2254
-297.762,6.16622
-326.378,5.78148
-328.206,5.69172
-290.978,8.14578
-318.43,5.55213
-312.857,5.53354
-292.509,5.06429
-294.838,5.89881
-308.741,5.64026
-327.255,8.1266
-311.879,5.53948
-302.371,7.20889
-327.133,5.73526
-315.789,5.83384
-336.568,5.61621
-294.831,6.67031
-327.696,5.64113
-335.744,5.63417
-306.132,7.26805
-292.902,5.93085
-323.852,7.43128
-299.106,5.97506
-330.16,5.58125
-316.819,4.40979
-338.594,5.5424
-333.996,5.27281
-308.765,5.98324
-293.87,7.30292
-306.933,5.9058
-294.488,6.05192
-293.471,8.5258
-315.163,4.36314
-334.174,5.29494
-326.39,5.74022
-301.286,4.98137
-337.338,5.14596
-324.425,5.67872
-296.726,8.49363
-312.621,5.59356
-325.134,5.4488
-338.912,5.00539
-300.58,6.12145
-300.974,4.98101
-323.262,5.3742
-331.793,5.73609
-295.258,6.23438
-321.579,5.86364
-304.105,5.95296
-338.719,5.5128
-328.255,8.72707
-334.641,5.57512
-297.451,5.19569
-311.458,5.23737
-312.388,7.1907
-300.56,5.10569
-294.223,5.60922
-316.637,5.61026
-316.346,5.46689
-321.861,5.68323
-330.339,4.50012
-300.932,6.56119
-309.117,4.72814
-299.927,8.29649
-294.999,5.64949
-310.737,5.54801
-311.539,8.53155
-333.228,6.39299
-303.885,4.94461
-294.732,6.23038
-316.461,6.44541
-301.267,5.09367
-294.982,8.75374
-304.27,5.70354
-323.964,5.30959
-323.881,8.90695
-335.377,5.64513
-309.462,6.16255
-329.723,5.28429
-337.489,6.41229
-290.958,6.1866
-301.001,6.21587
-297.103,5.70739
-326.904,5.11746
-318.795,8.54391
-319.157,5.52721
-297.881,6.25937
-307.575,8.36936
-294.138,5.72289
-297.356,6.24624
-331.311,7.01909
-302.906,4.9163
-324.985,5.49547
-329.325,8.40514
-334.939,5.65821
-332.876,5.86146
-306.041,6.04128
-327.261,5.84542
-298.786,6.19003
-315.559,4.57025
-315.26,5.727
-337.898,5.47771
-305.838,6.07904
-307.215,7.24165
-304.972,4.86353
-308.841,6.03126
-334.894,5.69689
-309.589,5.9043
-321.241,5.2882
-323.537,5.37613
-333.24,4.46874
-308.282,5.85155
-308.441,6.06415
-329.604,8.85773
-324.472,7.56804
-329.454,5.69404
-294.146,6.67472
-322.781,7.01844
-332.714,4.56385
-320.079,4.46406
-309.501,8.34403
-305.411,6.1697
-292.984,8.56758
-316.194,5.51594
-324.74,5.5066
-297.612,5.77191
-296.992,6.23231
-325.255,8.02369
-295.481,6.16891
-326.567,5.76809
-305.852,6.93834
-294.234,7.61835
-296.413,6.12564
-291.537,8.60522
-337.974,5.56603
-333.505,8.79137
-318.522,5.55405
-318.588,5.22796
-339.288,6.03697
-310.309,5.92711
-337.695,5.50671
-300.997,8.50226
-327.315,5.33188
-306.284,7.17265
-328.837,8.82732
-321.579,5.40986
-318.817,4.51042
-305.777,8.90335
-302.493,8.7865
-297.923,6.18114
-322.427,5.58963
-329.25,5.38177
-321.365,8.32883
-306.636,5.95746
-329.546,5.66891
-296.665,5.42821
-298.106,7.73102
-320.993,5.80418
-307.089,7.38515
-294.641,6.1596
-325.597,5.45651
-325.762,5.84131
-338.655,5.54297
-302.775,7.94135
-297.883,6.95952
-322.21,7.98397
-329.795,4.59807
-309.144,5.56926
-309.759,5.8631
-302.774,4.82951
-336.42,5.70878
-312.056,4.62874
-322.354,5.71319
-315.367,5.95824
-324.93,6.19843
-306.965,5.71741
-330.131,5.66819
-324.242,8.99284
-304.002,4.96391
-316.874,5.31656
-333.293,5.19275
-311.903,5.8837
-301.753,4.72242
-306.595,5.92534
-306.723,6.29613
-302.65,4.74061
-335.618,7.44247
-297.685,6.39557
-305.375,6.1309
-335.139,4.19923
-294.504,6.20573
-329.275,5.55108
-315.937,5.13519
-312.364,8.78588
-309.515,5.84689
-297.863,5.28939
-300.014,6.12688
-323.656,5.84164
-332.929,5.48828
-334.468,7.80364
-308.248,4.6748
-293.602,5.83922
-301.808,6.27544
-303.458,5.05167
-339.414,4.39168
-337.225,4.59195
-305.709,8.98481
-299.378,6.16889
-298.854,5.10069
-295.753,5.03811
-306.619,5.89782
-305.474,5.86449
-318.967,5.59756
-333.099,5.62563
-293.677,5.77948
-337.49,7.88486
-307,5.96212
-307.425,6.11116
-332.507,5.3126
-292.844,4.77248
-331.626,6.18279
-305.593,5.43333
-338.436,5.19592
-307.967,4.80248
-309.24,5.5842
-323.2,5.828
-337.113,5.46785
-308.83,6.05823
-296.547,6.24892
-331.003,5.6449
-297.02,4.74017
-319.482,8.42208
-298.976,6.16503
-308.654,5.63131
-291.149,5.27855
-302.297,5.70479
-293.439,5.97492
-332.7,5.29485
-319.091,5.59116
-305.493,6.21276
-316.522,4.56892
-307.549,4.8225
-297.722,4.7874
-338.946,5.07451
-328.365,8.78767
-322.014,5.84836
-307.045,5.91579
-333.325,5.19311
-325.116,5.15098
-332.358,5.52615
-301.435,6.1129
-334.648,6.78391
-308.295,5.0811
-295.941,5.68987
-292.108,6.33371
-334.003,5.21449
-293.866,4.78539
-334.054,7.76894
-293.329,5.89876
-318.588,4.44227
-296.085,5.72626
-330.318,5.64278
-333.188,8.57465
-309.625,5.81914
-296.388,6.18674
-311.856,5.39554
-297.901,6.99447
-331.31,4.93901
-302.773,7.22866
-315.648,5.76987
-305.79,6.00922
-324.703,5.74763
-329.967,7.87945
-296.665,6.28078
-336.49,8.5998
-305.415,5.56278
-296.797,6.37621
-334.01,5.24946
-298.638,4.87399
-291.084,8.93602
-292.254,6.37489
-334.897,4.56324
-325.993,5.73144
-336.426,5.69208
-292.746,5.09491
-329.407,5.97913
-307.73,5.80036
-330.403,8.67351
-294.71,6.4487
-296.503,6.26785
-291.416,5.67685
-337.551,5.8383
