                                              file,     #event, size[MB], duration[s],       [min],      [hour]
                      ../root_data/gen_run071.root,    1279072,   132.45,    2677.578,      44.626,       0.744
                      ../root_data/gen_run072.root,    1321340,   136.21,    2698.809,      44.980,       0.750
                      ../root_data/gen_run073.root,    1316860,   135.83,    2675.248,      44.587,       0.743
                      ../root_data/gen_run074.root,     967885,   102.33,    2643.717,      44.062,       0.734
                      ../root_data/gen_run075.root,    1322906,   136.22,    2677.145,      44.619,       0.744
                      ../root_data/gen_run076.root,     642896,    71.64,    1260.964,      21.016,       0.350
                      ../root_data/gen_run077.root,     809222,    87.18,    1830.894,      30.515,       0.509
                      ../root_data/gen_run078.root,     781867,    84.54,    1786.556,      29.776,       0.496
                      ../root_data/gen_run079.root,     775997,    84.06,    1773.727,      29.562,       0.493
                      ../root_data/gen_run080.root,     759005,    82.59,    1736.844,      28.947,       0.482
                      ../root_data/gen_run081.root,     762988,    82.87,    1799.992,      30.000,       0.500
                      ../root_data/gen_run082.root,     764225,    83.02,    1757.717,      29.295,       0.488
                      ../root_data/gen_run083.root,    1419363,   126.61,   14309.425,     238.490,       3.975
