# for n-Gauss fit, can use "#", or "//" to comment out whole line
# peak    low    high   fixed?  sigma_Max    fixed?  hight
0.000   -0.100    0.124    1    0.052     1    769
0.236    0.124    0.496    1    0.052     1    465
0.583    0.317    0.837    1    0.052     1    5956
1.106    0.836    1.356    1    0.052     1    1372
1.333    1.066    1.586    1    0.052     1    1304
1.681    1.424    1.944    1    0.052     1    1448
2.120    1.866    2.386    1    0.052     1    823
2.302    1.995    2.515    1    0.052     1    723
2.534    2.292    2.812    1    0.052     1    4106
