#16N(d,3He)15C(5/2+ 0.74) ELAB= 24.000
#16N(d,3He)15C(1/2+ 0.00) ELAB= 24.000
   Angel	   Ex=0.74(0p1/2)Kx   Ex=0.00(0p1/2)Kx
  97.000	           0.022571           0.026456
  97.500	           0.022461           0.026134
  98.000	           0.022301           0.025762
  98.500	           0.022095           0.025342
  99.000	           0.021843           0.024878
  99.500	           0.021549           0.024372
 100.000	           0.021215           0.023830
 100.500	           0.020844           0.023255
 101.000	           0.020439           0.022651
 101.500	           0.020003           0.022022
 102.000	           0.019539           0.021372
 102.500	           0.019051           0.020706
 103.000	           0.018543           0.020027
 103.500	           0.018016           0.019340
 104.000	           0.017476           0.018648
 104.500	           0.016926           0.017956
 105.000	           0.016367           0.017265
 105.500	           0.015805           0.016581
 106.000	           0.015241           0.015906
 106.500	           0.014679           0.015242
 107.000	           0.014122           0.014593
 107.500	           0.013571           0.013962
 108.000	           0.013030           0.013349
 108.500	           0.012501           0.012758
 109.000	           0.011986           0.012190
 109.500	           0.011486           0.011647
 110.000	           0.011003           0.011129
 110.500	           0.010539           0.010638
 111.000	           0.010095           0.010175
 111.500	           0.009672           0.009740
 112.000	           0.009272           0.009333
 112.500	           0.008893           0.008955
 113.000	           0.008538           0.008605
 113.500	           0.008206           0.008284
 114.000	           0.007898           0.007991
 114.500	           0.007614           0.007725
 115.000	           0.007353           0.007486
 115.500	           0.007116           0.007273
 116.000	           0.006902           0.007085
 116.500	           0.006710           0.006921
 117.000	           0.006540           0.006780
 117.500	           0.006391           0.006661
 118.000	           0.006262           0.006562
 118.500	           0.006154           0.006483
 119.000	           0.006063           0.006422
 119.500	           0.005991           0.006377
 120.000	           0.005935           0.006348
 120.500	           0.005896           0.006333
 121.000	           0.005870           0.006331
 121.500	           0.005859           0.006340
 122.000	           0.005860           0.006359
 122.500	           0.005872           0.006387
 123.000	           0.005895           0.006422
 123.500	           0.005926           0.006464
 124.000	           0.005966           0.006511
 124.500	           0.006013           0.006562
 125.000	           0.006066           0.006616
 125.500	           0.006124           0.006672
 126.000	           0.006186           0.006729
 126.500	           0.006251           0.006785
 127.000	           0.006319           0.006841
 127.500	           0.006387           0.006896
 128.000	           0.006455           0.006947
 128.500	           0.006524           0.006996
 129.000	           0.006590           0.007041
 129.500	           0.006655           0.007081
 130.000	           0.006717           0.007116
 130.500	           0.006776           0.007146
 131.000	           0.006831           0.007170
 131.500	           0.006881           0.007188
 132.000	           0.006926           0.007199
 132.500	           0.006965           0.007203
 133.000	           0.006998           0.007200
 133.500	           0.007025           0.007189
 134.000	           0.007045           0.007171
 134.500	           0.007058           0.007146
 135.000	           0.007064           0.007113
 135.500	           0.007062           0.007072
 136.000	           0.007052           0.007024
 136.500	           0.007035           0.006969
 137.000	           0.007010           0.006906
 137.500	           0.006978           0.006835
 138.000	           0.006937           0.006758
 138.500	           0.006889           0.006674
 139.000	           0.006833           0.006583
 139.500	           0.006770           0.006487
 140.000	           0.006700           0.006384
 140.500	           0.006623           0.006276
 141.000	           0.006540           0.006162
 141.500	           0.006450           0.006044
 142.000	           0.006355           0.005922
 142.500	           0.006254           0.005796
 143.000	           0.006149           0.005667
 143.500	           0.006039           0.005535
 144.000	           0.005925           0.005401
 144.500	           0.005808           0.005265
 145.000	           0.005689           0.005128
 145.500	           0.005567           0.004990
 146.000	           0.005444           0.004853
 146.500	           0.005320           0.004716
 147.000	           0.005196           0.004580
 147.500	           0.005072           0.004446
 148.000	           0.004950           0.004314
 148.500	           0.004829           0.004186
 149.000	           0.004711           0.004061
 149.500	           0.004595           0.003940
 150.000	           0.004483           0.003823
 150.500	           0.004375           0.003712
 151.000	           0.004272           0.003606
 151.500	           0.004174           0.003506
 152.000	           0.004082           0.003412
 152.500	           0.003996           0.003325
 153.000	           0.003917           0.003246
 153.500	           0.003845           0.003173
 154.000	           0.003780           0.003109
 154.500	           0.003723           0.003052
 155.000	           0.003674           0.003004
 155.500	           0.003633           0.002964
 156.000	           0.003600           0.002932
 156.500	           0.003576           0.002909
 157.000	           0.003561           0.002895
 157.500	           0.003554           0.002889
 158.000	           0.003556           0.002891
 158.500	           0.003566           0.002902
 159.000	           0.003585           0.002921
 159.500	           0.003612           0.002948
 160.000	           0.003647           0.002983
 160.500	           0.003690           0.003025
 161.000	           0.003740           0.003075
 161.500	           0.003798           0.003132
 162.000	           0.003862           0.003195
 162.500	           0.003933           0.003264
 163.000	           0.004009           0.003339
 163.500	           0.004092           0.003420
 164.000	           0.004179           0.003505
 164.500	           0.004271           0.003595
 165.000	           0.004367           0.003688
 165.500	           0.004467           0.003785
 166.000	           0.004569           0.003885
 166.500	           0.004674           0.003987
 167.000	           0.004782           0.004091
 167.500	           0.004890           0.004197
 168.000	           0.004999           0.004303
 168.500	           0.005109           0.004409
 169.000	           0.005218           0.004515
 169.500	           0.005326           0.004620
 170.000	           0.005434           0.004724
 170.500	           0.005539           0.004827
 171.000	           0.005642           0.004927
 171.500	           0.005743           0.005024
