#208Pb(d,p)209Pb(9/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(11/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(15/2- 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(5/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(1/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(7/2+ 0.000) ELAB= 15.000
#208Pb(d,p)209Pb(3/2+ 0.000) ELAB= 15.000
   Angel	  Ex=0.000(1g9/2)AK Ex=0.000(0i11/2)AK Ex=0.000(0j15/2)AK  Ex=0.000(2d5/2)AK  Ex=0.000(3s1/2)AK  Ex=0.000(1g7/2)AK  Ex=0.000(2d3/2)AK
  70.000	           2.067000           0.250290           0.190630           4.966600           1.545300           1.578200           3.434500
  71.000	           2.051300           0.244850           0.190680           4.819000           1.505600           1.569600           3.336400
  72.000	           2.034300           0.239590           0.190100           4.656600           1.500500           1.561400           3.224500
  73.000	           2.015600           0.234610           0.188960           4.482700           1.525000           1.553000           3.101200
  74.000	           1.994700           0.230000           0.187300           4.301000           1.573800           1.543900           2.969400
  75.000	           1.971300           0.225840           0.185200           4.115300           1.641000           1.533500           2.831800
  76.000	           1.944900           0.222180           0.182720           3.929400           1.720800           1.521400           2.691700
  77.000	           1.915400           0.219080           0.179950           3.746800           1.807200           1.507100           2.551700
  78.000	           1.882500           0.216560           0.176950           3.570700           1.895000           1.490200           2.414800
  79.000	           1.846200           0.214620           0.173810           3.403900           1.979000           1.470300           2.283400
  80.000	           1.806600           0.213260           0.170610           3.248800           2.055000           1.447300           2.159700
  81.000	           1.763700           0.212450           0.167430           3.107100           2.119300           1.421000           2.045500
  82.000	           1.717800           0.212140           0.164320           2.979900           2.168800           1.391400           1.942100
  83.000	           1.669400           0.212290           0.161370           2.867900           2.201600           1.358700           1.850500
  84.000	           1.618900           0.212810           0.158620           2.771200           2.216300           1.323100           1.771200
  85.000	           1.566800           0.213640           0.156140           2.689200           2.212200           1.284900           1.704300
  86.000	           1.513800           0.214670           0.153950           2.621100           2.189500           1.244500           1.649500
  87.000	           1.460500           0.215830           0.152100           2.565600           2.148800           1.202500           1.606100
  88.000	           1.407600           0.217000           0.150610           2.521100           2.091600           1.159300           1.573100
  89.000	           1.355700           0.218110           0.149470           2.485700           2.019500           1.115600           1.549300
  90.000	           1.305500           0.219060           0.148700           2.457500           1.934500           1.072100           1.533300
