z,e
-371.252,4.84276
-355.807,6.17404
-353.485,5.08463
-353.243,5.40867
-363.098,8.03597
-392.546,3.99105
-385.051,4.62478
-388.575,5.86616
-366.406,4.55884
-383.239,4.68275
-374.168,3.73149
-362.743,5.02945
-384.441,6.99088
-361.378,2.82604
-369.812,4.85043
-356.75,5.09432
-398.757,3.41867
-380.518,4.69081
-360.238,2.14872
-353.807,5.15378
-367.186,4.9642
-373.326,4.75648
-368.287,7.13952
-376.111,4.71081
-369.962,6.20662
-362.183,5.02007
-391.706,4.11039
-357.324,3.17893
-362.471,7.32626
-377.813,1.80538
-360.576,5.05935
-372.89,4.22514
-385.198,2.18422
-363.633,2.32266
-359.259,5.05389
-355.779,3.86208
-398.141,3.4775
-378.873,7.71642
-353.79,7.07642
-359.694,8.09607
-384.741,4.62294
-396.929,5.09514
-366.678,4.88996
-398.465,4.20681
-372.273,3.61719
-376.589,3.66116
-356.3,7.41148
-390.767,2.60638
-364.635,2.08382
-364.289,1.8361
-361.789,5.02589
-392.301,7.54322
-377.069,7.05271
-384.677,4.17193
-390.457,4.55445
-395.464,8.06607
-387.163,4.47564
-357.482,3.86914
-373.619,4.90049
-375.474,3.98278
-367.014,3.36126
-371.012,1.67883
-395.202,5.12432
-389.582,4.37643
-359.766,2.97666
-378.346,4.31796
-397.734,4.35801
-357.352,5.14794
-352.661,7.51141
-360.339,6.11166
-378.763,4.30844
-371.523,4.85617
-373.288,4.87652
-399.093,4.24711
-386.419,4.18168
-369.895,4.74281
-375.171,4.75167
-365.462,3.41184
-379.085,7.73389
-377.428,3.03082
-393.635,6.79815
-358.192,2.13735
-375.878,4.68926
-380.037,5.50315
-382.144,4.66055
-373.451,4.81594
-383.525,4.17667
-376.856,3.83052
-360.935,5.03486
-357.174,4.99905
-358.562,4.6688
-355.678,5.11002
-389.447,4.38515
-392.968,2.56136
-358.864,3.78143
-391.211,7.90597
-389.617,3.91001
-394.09,4.38831
-373.689,4.73031
-384.43,7.86797
-380.682,2.37097
-361.133,4.50251
-370.761,3.53901
-397.409,4.59602
-396.991,3.04091
-383.57,4.48414
-364.318,2.28683
-365.639,4.42931
-395.291,4.36048
-391.568,7.36194
-377.565,4.58095
-385.682,3.02804
-364.477,2.28648
-367.707,1.67967
-377.928,7.04896
-391.581,6.80648
-372.304,5.90714
-352.043,5.20764
-388.603,6.29371
-354.697,7.52485
-377.921,4.71534
-384.132,4.30962
-393.43,4.32891
-388.98,4.51887
-397.71,4.00312
-358.527,3.85619
-381.176,4.72185
-358.165,3.80258
-387.413,3.27924
-372.798,1.72805
-375.831,4.83157
-391.479,6.58956
-394.309,4.51621
-370.346,5.17849
-367.983,7.10272
-373.712,4.27332
-382.348,7.59316
-361.927,5.00423
-358.627,6.01512
-375.885,3.20814
-350.724,3.49893
-381.796,7.64472
-397.419,7.4003
-359.149,5.05945
-388.541,4.47294
-357.492,5.1297
-398.188,4.29772
-374.283,4.855
-358.001,7.44077
-378.175,4.34089
-368.115,4.09638
-367.716,2.93384
-378.12,4.48145
-389.838,4.85067
-389.063,4.03155
-356.226,4.69314
-395.438,4.21297
-397.068,4.38081
-384.409,4.5233
-368.555,2.77869
-376.219,4.84693
-359.812,7.38786
-369.169,4.99206
-371.234,7.50477
-385.199,3.68609
-364.648,4.5906
-383.129,7.73885
-381.496,6.8513
-387.265,5.07705
-387.144,2.05509
-381.816,2.71392
-368.425,2.38197
-379.273,4.73064
-362.912,4.92363
-365.036,7.24286
-352.914,7.81231
-397.734,2.95781
-378.318,4.24047
-385.996,6.82002
-381.889,1.76946
-358.576,5.01984
-354.136,4.88308
-398.145,4.06925
-364.479,4.27474
-395.283,4.32353
-367.827,7.30903
-358.02,6.90329
-353.008,3.0359
-352.842,7.41017
-383.263,4.65356
-364.724,4.57254
-377.881,2.0023
-359.655,4.99158
-381.391,4.16401
-380.253,4.67214
-396.767,2.61813
-390.665,2.0353
-375.283,5.04401
-358.06,3.82114
-395.88,6.7567
-354.551,5.19063
-382.378,4.63997
-380.335,6.20359
-389.734,4.24849
-380.559,2.37315
-390.612,2.22811
-392.83,4.40171
-371.509,2.69837
-352.879,5.51588
-357.996,4.1629
-399.35,4.0692
-395.515,4.04732
-390.952,4.4763
-370.961,3.8196
-395.781,3.98658
-366.409,5.4388
-366.262,4.89928
-357.495,7.44078
-359.585,8.04515
-355.515,2.96462
-390.914,3.94305
-356.744,2.92581
-356.57,5.06422
-364.982,4.94494
-364.172,5.40806
-354.493,8.234
-368.571,4.8379
-374.793,4.78874
-396.809,4.35525
-377.194,3.5192
-390.102,4.47148
-391.789,4.2312
-368.886,1.70655
-364.674,4.93388
-384.654,3.5735
-360.412,3.54906
-392.951,2.57015
-377.913,5.60985
-388.18,4.53044
-390.837,5.95088
-391.818,3.84193
-386.623,4.20455
-380.239,4.27741
-382.803,4.97335
-374.659,2.95642
-394.179,7.42058
-378.734,4.01906
-372.732,4.90105
-373.658,2.8355
-359.083,5.09162
-372.667,4.81677
-383.784,3.36692
-376.715,8.49704
-384.219,4.27703
-376.358,4.7737
-396.44,4.67415
-398.511,2.08669
-364.122,4.89952
-382.028,4.69641
-355.011,8.18403
-359.726,5.01684
-387.009,4.1552
-388.095,4.62017
-387.654,4.49803
-366.826,8.01723
-363.887,4.97894
-363.329,6.3367
-395.435,6.7712
-362.168,4.96621
-391.539,4.136
-373.083,2.79596
-359.298,5.07665
-373.369,2.06744
-388.607,1.92417
-371.781,4.58744
-389.493,4.60339
-390.683,6.7356
-363.715,5.03824
-361.588,3.73988
-377.44,3.26892
-387.605,8.37649
-369.511,4.88797
-386.721,4.1886
-392.084,5.73861
-385.984,4.59237
-364.165,4.86466
-395.608,3.6086
-395.098,4.44624
-394.518,4.41462
-379.317,2.67106
-364.343,2.2011
-356.668,3.96936
-364.431,3.7476
-361.931,4.98937
-367.591,2.64726
-391.973,4.32193
-393.62,2.62207
-368.984,4.78386
-361.137,7.29531
-360.512,5.06602
-392.958,3.26876
-354.558,5.17142
-399.362,4.14301
-354.207,3.92711
-397.35,3.97934
-353.467,6.1988
-364.468,4.57939
-362.712,4.64943
-382.919,4.20991
-391.18,7.44375
-372.418,2.88794
-373.489,7.0936
-373.753,7.08561
-356.43,2.49092
-358.625,6.54984
-393.709,4.46301
-354.556,7.42652
-380.942,4.64356
-377.485,4.64664
-383.463,1.82196
-397.292,3.8264
-387.638,3.2218
-394.553,4.02342
-382.501,4.72585
-396.659,4.75508
-353.161,5.11612
-363.368,6.08794
-384.437,4.58866
-390.745,6.72164
-359.807,4.99237
-387.775,3.13903
-371.689,4.88146
-371.919,4.05667
-375.624,4.85136
-397.069,4.36564
-356.361,2.70465
-381.136,8.28384
-390.15,5.84987
-388.078,7.54671
-389.604,5.22778
-386.682,6.82282
-396.962,4.31402
-362.869,3.02473
-399.329,7.45883
-381.088,6.23819
-381.075,7.54979
-365.638,1.66551
-353.528,4.35625
-379.105,3.0006
-396.551,4.4326
-387.795,4.50567
-352.815,4.60648
-388.67,7.47827
-354.943,5.15037
-369.269,3.72241
-393.887,4.35767
-388.038,4.0656
-389.91,7.09545
-355.174,2.98593
-387.747,3.1991
-380.002,4.66956
-357.41,3.78842
-362.103,1.6256
-391.366,6.59111
-365.674,5.2609
-354.344,5.2367
-357.232,3.96832
-360.109,5.20198
-366.418,2.92419
-374.486,4.79823
-353.047,7.73046
-381.988,3.48601
-384.488,4.59877
-368.1,3.04611
-396.089,4.30765
-381.552,4.24392
-382.566,4.57372
-394.208,4.05579
-359.971,2.35514
-398.7,6.60381
-371.311,4.39338
-384.205,5.63821
-350.656,4.39509
-369.072,7.12189
-366.292,4.98981
-374.115,5.90645
-383.752,2.9237
-388.278,5.45983
-391.404,2.8722
-359.832,4.90447
-387.265,6.19453
-354.194,1.8884
-389.233,2.49957
-354.708,4.64048
-368.648,4.48802
-361.893,1.91024
-385.25,4.61536
-368.885,4.85803
-362,2.86776
-370.769,2.32669
-398.421,4.20823
-398.675,3.75273
-363.806,3.8051
-355.856,1.74376
-394.349,2.29244
-377.307,7.50297
-366.773,4.86367
-369.243,5.0076
-388.347,4.09866
-395.688,2.28755
-354.103,6.6017
-378.44,2.12291
-371.799,2.09763
-396.485,4.44716
-368.031,2.74969
-395.334,2.86772
-383.164,5.24436
-375.605,4.4362
-381.877,4.72676
-374.193,7.77302
-350.708,3.51569
-354.669,1.5871
-397.533,5.73431
-393.555,3.25934
-364.078,4.92274
-379.362,4.29432
-356.354,5.16307
-371.707,7.12476
-354.479,2.21472
-353.224,4.7782
-355.902,5.10736
-366.418,4.81029
-373.517,3.4693
-371.632,4.42657
-382.856,3.34364
-362.187,4.95342
-394.352,5.09838
-385.922,3.72952
-385.507,4.05844
-397.625,4.3456
-357.019,4.6729
-362.325,4.52909
-397.379,4.22939
-397.166,5.82314
-355.279,3.6736
