 0, 1.015995e+01, -8.424818e-01, -1.464283e+01,  2.408588e+00, -6.033073e+00, -3.878184e+00,  8.656359e+00,  2.412497e+00 
 1, 9.243240e+00, -2.060263e-02, -1.555361e+01, -1.037401e+00,  1.532385e-02,  8.606246e-01,  4.830159e+00,  7.869940e-02 
 2, 2.147054e+01,  3.301965e+00, -2.012390e+01, -1.313843e+01, -3.883232e+00,  1.708409e+01,  5.251212e+00, -7.340640e+00 
 3, 9.326418e+00,  2.064279e-01, -1.393592e+01, -1.170047e-01, -2.183471e+00, -5.533661e-01,  5.539541e+00,  4.940451e-01
 4, 1.219524e+01,  1.288604e+00, -1.593731e+01, -4.560780e+00, -1.263010e+00,  5.225539e+00,  4.807836e+00, -1.862612e+00
 5, 1.210463e+01,  1.042213e+00, -1.537497e+01,  9.212891e-01, -5.323580e+00, -7.350083e+00,  8.143803e+00,  5.386668e+00
 6, 1.149783e+00, -2.258965e+00, -2.736785e+00,  1.519854e+01,  5.048020e-01, -2.504496e+01, -8.988999e-03,  1.202802e+01
 7, 6.964821e+00,  7.933201e-01, -4.015985e+00, -3.751411e+00, -3.889999e+00,  6.881515e+00,  3.336686e+00, -3.962373e+00
 8, 1.652046e+00, -9.776231e-02, -2.923566e+00,  6.452319e-01,  6.847265e-01, -8.960619e-01,  1.727833e-01,  2.670723e-01
 9, 1.760359e+01,  1.895894e-01, -2.442886e+01, -2.791358e+00, -4.994107e-01,  6.432034e+00,  7.110534e+00, -3.613965e+00
10, 1.160795e+01,  4.098653e-01, -1.452879e+01,  1.709813e+00, -1.723239e+00, -5.244960e+00,  4.850449e+00,  3.284659e+00
12, 9.586011e-01, -1.951807e-01,  2.903472e+00, -1.968992e+00, -1.742857e+01,  9.557327e+00,  1.502935e+01, -9.585611e+00
13, 1.250135e+00, -6.214253e-01, -2.148730e+00,  4.650826e+00, -2.453675e+00, -7.713998e+00,  2.799663e+00,  3.580174e+00
14, 8.128988e-01,  1.283134e-01, -2.386860e+00,  2.967004e-01,  2.025029e+00, -7.274705e-01, -1.048897e+00,  3.043674e-01
15, 1.994583e+00,  1.290881e-01, -2.428042e+00, -1.177948e+00, -1.258736e+00,  3.212258e+00,  1.506396e+00, -1.978080e+00
16, 1.355376e+01, -1.197036e+00, -2.015492e+01,  4.408441e+00, -2.030673e+00, -7.155152e+00,  7.392749e+00,  3.959333e+00
17, 1.451349e+01, -1.443448e+00, -2.428590e+01,  1.509708e+01, -1.348560e+01, -3.687055e+01,  2.411673e+01,  2.492079e+01
18, 9.409788e+00, -1.121172e-01, -1.181174e+01,  7.859598e-01, -7.961542e+00,  1.154972e+00,  8.820141e+00, -1.956366e+00
19, 1.016721e+01, -1.966251e+00, -1.364870e+01,  7.500335e+00, -5.304666e+00, -9.599459e+00,  7.638225e+00,  4.050733e+00
20, 9.482688e+00,  1.886648e+00, -1.968891e+01, -1.774136e+01,  5.462402e+00,  3.275814e+01,  3.465757e+00, -1.712810e+01
21, 7.060831e+00,  2.701527e-01, -1.026429e+01,  1.689984e+00, -2.022534e+00, -5.305057e+00,  4.203167e+00,  2.954389e+00
23, 8.150067e+00,  1.030156e-01, -1.192408e+01,  7.492206e-01, -3.754430e+00, -1.079752e+00,  6.399899e+00,  3.083781e-01
