#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 0.00) ELAB= 24.000
#16N(d,t)15N(1/2- 2.00) ELAB= 24.000
#16N(d,t)15N(1/2- 4.00) ELAB= 24.000
#16N(d,t)15N(1/2- 6.00) ELAB= 24.000
   Angel	   Ex=0.00(0d5/2)Kx   Ex=0.00(1s1/2)Kx   Ex=2.00(0d5/2)Kx   Ex=4.00(0d5/2)Kx   Ex=6.00(0d5/2)Kx
  48.000	           0.335590           0.220870           0.349800           0.326720           0.279490
  48.500	           0.317460           0.234420           0.330070           0.308640           0.266620
  49.000	           0.300560           0.247110           0.311290           0.290830           0.253250
  49.500	           0.284910           0.258790           0.293570           0.273460           0.239560
  50.000	           0.270520           0.269340           0.276980           0.256700           0.225730
  50.500	           0.257370           0.278640           0.261590           0.240680           0.211920
  51.000	           0.245440           0.286600           0.247450           0.225510           0.198280
  51.500	           0.234700           0.293140           0.234570           0.211300           0.184960
  52.000	           0.225090           0.298220           0.222970           0.198120           0.172100
  52.500	           0.216570           0.301800           0.212640           0.186030           0.159800
  53.000	           0.209050           0.303850           0.203540           0.175080           0.148180
  53.500	           0.202480           0.304380           0.195630           0.165290           0.137310
  54.000	           0.196770           0.303410           0.188880           0.156670           0.127270
  54.500	           0.191840           0.300960           0.183210           0.149200           0.118110
  55.000	           0.187620           0.297100           0.178540           0.142860           0.109870
  55.500	           0.184010           0.291880           0.174810           0.137630           0.102590
  56.000	           0.180950           0.285390           0.171930           0.133450           0.096256
  56.500	           0.178330           0.277720           0.169810           0.130250           0.090884
  57.000	           0.176090           0.268960           0.168350           0.127990           0.086454
  57.500	           0.174160           0.259240           0.167470           0.126570           0.082941
  58.000	           0.172450           0.248660           0.167070           0.125930           0.080310
  58.500	           0.170910           0.237350           0.167060           0.125970           0.078516
  59.000	           0.169470           0.225430           0.167350           0.126620           0.077505
  59.500	           0.168080           0.213040           0.167870           0.127770           0.077220
  60.000	           0.166670           0.200290           0.168520           0.129350           0.077596
  60.500	           0.165220           0.187330           0.169240           0.131270           0.078565
  61.000	           0.163680           0.174260           0.169950           0.133440           0.080054
  61.500	           0.162010           0.161200           0.170600           0.135780           0.081992
  62.000	           0.160190           0.148280           0.171120           0.138210           0.084305
  62.500	           0.158190           0.135580           0.171460           0.140660           0.086918
  63.000	           0.156000           0.123210           0.171590           0.143060           0.089761
  63.500	           0.153600           0.111260           0.171460           0.145350           0.092761
  64.000	           0.151000           0.099793           0.171040           0.147470           0.095852
  64.500	           0.148180           0.088891           0.170320           0.149370           0.098970
  65.000	           0.145150           0.078605           0.169280           0.151010           0.102050
  65.500	           0.141910           0.068984           0.167900           0.152340           0.105050
  66.000	           0.138470           0.060065           0.166180           0.153350           0.107900
  66.500	           0.134860           0.051875           0.164130           0.154000           0.110570
  67.000	           0.131070           0.044431           0.161740           0.154280           0.113010
  67.500	           0.127130           0.037742           0.159030           0.154180           0.115200
  68.000	           0.123050           0.031807           0.156020           0.153690           0.117090
  68.500	           0.118860           0.026617           0.152710           0.152810           0.118660
  69.000	           0.114580           0.022157           0.149130           0.151540           0.119910
  69.500	           0.110220           0.018402           0.145310           0.149900           0.120800
  70.000	           0.105820           0.015326           0.141260           0.147910           0.121350
  70.500	           0.101390           0.012893           0.137020           0.145560           0.121530
  71.000	           0.096959           0.011065           0.132620           0.142900           0.121360
  71.500	           0.092540           0.009799           0.128080           0.139940           0.120840
  72.000	           0.088158           0.009051           0.123420           0.136700           0.119970
  72.500	           0.083830           0.008773           0.118690           0.133220           0.118780
  73.000	           0.079576           0.008916           0.113910           0.129520           0.117270
  73.500	           0.075411           0.009430           0.109100           0.125630           0.115460
  74.000	           0.071351           0.010266           0.104290           0.121590           0.113380
  74.500	           0.067409           0.011374           0.099517           0.117420           0.111050
  75.000	           0.063597           0.012705           0.094793           0.113150           0.108490
  75.500	           0.059924           0.014213           0.090144           0.108820           0.105730
  76.000	           0.056400           0.015853           0.085590           0.104450           0.102790
  76.500	           0.053031           0.017581           0.081151           0.100080           0.099701
  77.000	           0.049822           0.019360           0.076842           0.095715           0.096489
  77.500	           0.046778           0.021151           0.072679           0.091396           0.093180
  78.000	           0.043899           0.022921           0.068675           0.087142           0.089800
  78.500	           0.041187           0.024640           0.064839           0.082973           0.086376
  79.000	           0.038641           0.026283           0.061180           0.078910           0.082930
  79.500	           0.036259           0.027825           0.057706           0.074969           0.079486
  80.000	           0.034039           0.029248           0.054420           0.071166           0.076067
  80.500	           0.031977           0.030536           0.051326           0.067513           0.072693
  81.000	           0.030068           0.031677           0.048424           0.064021           0.069383
  81.500	           0.028306           0.032661           0.045713           0.060700           0.066153
  82.000	           0.026686           0.033483           0.043193           0.057555           0.063021
  82.500	           0.025201           0.034140           0.040859           0.054592           0.059998
