z,e
-386.69,3.82959
-386.501,7.44789
-359.5,3.16839
-383.288,3.245
-378.77,2.21121
-365.599,2.57586
-366.468,3.49938
-379.576,1.78902
-365.903,1.68902
-368.366,2.5386
-366.236,4.77685
-396.199,2.33434
-382.328,1.94576
-388.939,2.6786
-398.833,2.45952
-365.783,2.78077
-391.052,7.51907
-361.207,4.9188
-361.59,4.75162
-363.006,4.4
-388.405,4.35704
-370.271,2.38032
-390.581,4.4656
-382.83,3.94425
-391.693,4.42071
-366.787,4.73671
-398.677,4.28925
-365.347,6.79255
-352.608,5.11098
-385.733,4.49027
-350.671,1.95979
-379.255,4.9783
-368.892,2.72979
-360.116,4.72844
-386.197,3.37645
-393.966,5.2942
-395.02,4.32142
-365.161,5.68678
-376.275,4.67755
-379.326,4.61421
-371.84,4.46638
-399.386,2.78484
-364.701,4.83103
-361.835,4.55914
-380.212,2.383
-384.45,6.80167
-354.947,4.98411
-364.387,3.6986
-397.872,4.23295
-357.636,7.93794
-357.507,4.55656
-354.96,5.01089
-372.258,2.50983
-355.404,5.08813
-364.979,2.66875
-360.509,4.49354
-387.025,4.06322
-350.797,4.37917
-368.695,2.60791
-359.086,4.98014
-367.68,4.39976
-384.465,4.07246
-387.594,4.38374
-395.345,4.29724
-380.15,7.61391
-388.932,2.43951
-362.291,4.88396
-354.191,4.79346
-361.025,1.62014
-360.53,3.32105
-381.158,4.55895
-383.45,3.13449
-384.78,4.13546
-381.72,4.55823
-397.14,7.09155
-366.466,4.44782
-379.469,3.80731
-365.304,4.45828
-398.423,4.31803
-357.639,4.60517
-364.069,4.82333
-366.885,1.97186
-367.115,4.76677
-358.832,4.96045
-376.512,4.80908
-394.157,3.95772
-360.428,3.6654
-386.143,4.03314
-364.826,4.46419
-378.661,7.53978
-371.734,7.80264
-356.003,5.04413
-397.491,5.69738
-353.732,3.87468
-355.242,7.82949
-363.226,2.6996
-355.598,1.61812
-366.72,4.7576
-353.705,7.41313
-365.89,4.38922
-387.913,4.06075
-384.038,4.47822
-352.821,2.70513
-362.859,3.69118
-365.517,7.88281
-353.998,3.99312
-359.163,6.20098
-375.799,2.51243
-375.596,2.57315
-385.939,4.10631
-365.649,2.21256
-361.65,3.81856
-371.812,5.74463
-395.085,4.34148
-351.119,2.95518
-357.155,5.08281
-373.08,4.33736
-363.042,7.85055
-368.237,2.72037
-358.344,3.76669
-395.249,3.08296
-358.778,2.82923
-387.972,5.2771
-367.257,7.08642
-397.513,3.11348
-395.617,3.936
-387.137,7.49983
-380.613,1.93592
-389.607,3.90306
-389.31,3.08983
-395.228,3.81505
-378.41,4.87472
-362.869,4.95512
-370.851,2.68426
-385.04,2.95516
-352.455,5.58245
-351.072,6.46957
-377.33,3.11487
-381.472,7.0987
-367.311,4.77162
-354.732,6.49367
-369.119,2.4343
-385.021,4.85049
-355.549,2.35466
-362.259,4.53124
-360.014,4.87459
-362.333,2.61089
-398.991,3.93203
-368.803,5.15009
-355.608,7.29887
-361.808,7.2241
-389.724,6.58825
-366.566,7.84761
-360.925,4.49407
-392.036,4.32137
-352.762,8.04577
-397.281,3.06207
-382.725,4.58697
-381.991,6.88812
-363.943,4.40818
-355.762,4.97774
-359.328,2.58532
-398.026,3.04967
-358.121,2.6762
-362.131,3.77752
-364.299,3.50138
-379.354,4.16695
-378.245,5.35404
-362.971,2.13164
-378.811,2.36544
-371.365,4.64666
-352.23,4.7444
-370.158,2.396
-388.578,2.99168
-354.06,3.8541
-377.435,7.27769
-380.855,6.90618
-356.574,3.64547
-380.567,2.89503
-350.968,7.04178
-382.901,3.03343
-377.874,3.29373
-364.585,2.8305
-377.838,6.92394
-371.109,4.26839
-395.624,4.83592
-394.016,4.65785
-392.935,3.83915
-389.653,3.30846
-363.114,5.38656
-392.974,7.13326
-357.94,4.56471
-376.886,4.58716
-387.817,3.38406
-391.069,2.33453
-396.371,4.20726
-387.171,2.24989
-395.539,4.36092
-383.448,6.83971
-394.065,8.14516
-366.76,7.16334
-382.403,4.57228
-385.187,4.42
-368.527,2.91482
-383.411,4.56958
-398.92,2.90191
-369.383,4.66161
-392.6,7.83658
-388.902,8.23325
-386.72,2.82868
-368.765,3.18979
-396.836,3.32199
-369.51,8.0442
-391.426,4.01358
-379.536,4.58131
-377.794,2.74933
-381.419,3.33541
-364.459,2.77069
-371.443,1.89726
-353.274,5.05994
-379.307,4.24824
-365.985,2.37631
-381.807,4.42754
-394.997,4.36104
-364.926,3.71842
-355.59,7.31581
-378.49,4.56636
-389.745,3.09263
-361.006,4.83435
-391.027,4.21018
-388.57,2.59456
-375.159,4.34252
-365.763,4.79487
-393.787,3.15028
-368.035,4.35101
-394.749,3.98055
-397.992,2.05315
-388.533,3.19843
-394.852,7.31934
-384.091,6.80725
-382.427,4.64736
-392.59,4.32419
-381.875,4.22846
-396.586,2.12859
-394.645,4.30872
-382.413,7.64222
-376.273,6.56754
-369.459,4.33336
-385.662,2.71932
-352.004,7.44285
-350.753,3.75758
-362.012,8.40143
-359.042,7.88911
-379.417,4.61159
-356.065,4.50685
-362.52,7.81146
-359.166,4.8206
-380.082,2.85044
-393.273,3.90704
-369.799,2.66
-387.364,4.48458
-390.821,3.211
-395.954,4.19586
-355.848,2.80628
-359.987,1.7039
-357.244,4.98154
-367.052,2.7377
-392.124,4.38863
-383.999,3.44844
-383.277,3.27582
-382.991,4.56203
-399.131,6.56527
-395.597,3.83418
-396.551,3.87658
-361.718,3.61418
-370.365,7.81115
-397.315,1.95331
-393.766,3.19018
-363.814,2.83963
-391.351,4.01637
-378.476,4.55898
-398.842,2.59521
-372.237,4.66931
-382.706,2.42199
-383.066,4.53809
-397.198,5.51554
-376.908,4.65355
-357.501,2.79403
-397.779,4.22964
-367.071,4.75808
-376.409,2.5349
-370.045,3.5647
-388.332,4.05315
-396.875,4.28532
-369.807,4.7874
-392.557,3.94855
-361.162,2.70228
-365.436,3.55965
-390.47,7.15787
-367.374,4.83206
-355.811,4.98008
-391.948,4.35534
-385.986,4.57771
-372.081,4.27637
-397.207,7.34982
-351.374,5.1297
-391.804,2.24538
-361.365,7.1398
-356.522,2.86008
-377.828,6.64031
-361.165,7.9453
-398.346,2.97265
-387.257,4.49615
-396.98,2.99564
-379.451,4.50552
-377.246,7.01886
-395.88,3.0415
-388.335,4.38694
-385.52,4.56731
-372.352,4.72499
-353.737,5.02082
-377.696,4.64931
-380.008,4.27299
-393.41,4.31358
-394.052,4.27495
-393.852,4.34646
-392.785,4.37166
-370.842,4.61677
-386.096,6.79322
-387.77,4.4933
-368.363,4.75085
-384.135,4.45386
-368.481,3.47739
-364.437,2.82075
-357.966,3.23589
-361.407,4.52126
-355.634,4.68427
-370.243,4.68805
-376.544,4.666
-385.689,6.01082
-370.41,4.34005
-392.507,3.32622
-391.574,4.77965
-390.615,3.09163
-356.749,4.96466
-364.348,4.09784
-385.362,4.46976
-365.869,4.29314
-379.374,2.1298
-360.286,4.93129
-379.103,4.54769
-381.325,4.60453
-375.978,2.31426
-396.896,2.21139
-389.281,4.59236
-362.234,3.85487
-376.119,7.6637
-355.53,5.58533
-376.137,2.54584
-379.986,5.21168
-372.018,4.6422
-383.969,4.47105
-388.823,4.42377
-389.078,2.70018
-373.099,2.53662
-399.288,4.29067
-371.314,4.66173
-390.429,4.45339
-397.74,2.9972
-361.33,1.65235
-392.264,7.95476
-367.211,4.42484
-363.515,2.67253
-398.319,3.01675
-368.717,7.45379
-395.367,4.25617
-375.098,4.65113
-359.573,5.7181
-393.764,4.41148
-386.258,2.29377
-368.305,4.72077
-378.226,6.92449
-390.681,4.41594
-379.177,2.46402
-363.022,2.78958
-361.884,4.80907
-359.828,5.19166
-353.353,7.35014
-386.065,3.29362
-354.293,4.72986
-365.778,7.83933
-364.628,3.65797
-360.788,2.60203
-372.926,4.64677
-359.656,4.92684
-352.238,2.939
-387.415,4.4854
-380.663,4.50273
-386.007,1.99867
-367.665,5.21108
-396.908,4.46666
-387.837,2.50719
-376.514,4.56392
-369.313,4.80637
-393.08,3.09219
-354.437,7.27896
-364.357,4.73864
-352.505,3.95074
-386.499,4.50977
-365.302,5.31031
-389.669,4.36989
-397.848,2.35221
-382.964,3.71039
-370.794,4.71825
-368.887,2.79774
-376.613,4.32499
-379.458,6.8943
-361.792,3.52861
-381.746,2.23542
-364.029,4.38801
-399.345,5.36102
-384.342,2.64014
-354.626,2.23858
-383.789,4.19573
-390.97,4.33025
-371.078,4.73418
-394.549,3.81824
-368.861,2.62665
-380.357,4.59215
-363.041,5.51534
-386.415,6.25742
-379.324,4.38872
-396.825,1.8764
-356.151,2.83993
-365.424,2.54445
-355.835,2.61142
-389.573,4.34694
-369.823,3.49351
-378.088,5.01583
-380.143,4.6262
-364.542,4.94507
-368.695,2.55831
-397.56,4.35509
-350.945,3.76021
-364.472,2.7414
-396.33,7.31322
-366.604,4.75455
-394.702,4.29852
-358.91,5.83983
-396.385,4.36565
-360.836,2.82752
-354.403,3.75616
-398.598,4.2964
-364.894,7.19013
