z,e
-276.583,4.11092
-268.021,6.54031
-266.394,6.07024
-257.619,5.54086
-266.478,6.05893
-246.342,6.61145
-250.277,6.69189
-241.383,5.75954
-245.958,5.34932
-263.39,8.62199
-277.66,8.52245
-265.773,6.61051
-252.268,9.62735
-278.109,5.72139
-238.611,6.91522
-276.493,6.45726
-259.623,6.75686
-238.953,6.8608
-272.557,5.46677
-272.753,6.15357
-267.954,4.3062
-238.405,4.3037
-240.644,6.9171
-239.805,6.9373
-260.899,4.41446
-245.341,7.24369
-244.202,6.50736
-255.669,4.45818
-273.486,6.42494
-259.637,6.55502
-269.372,6.42368
-242.756,4.83108
-234.233,9.45183
-268.179,6.53191
-273.306,8.57278
-265.029,4.22962
-272.43,6.34143
-273,7.77364
-261.173,6.71069
-244.129,7.08686
-244.8,4.71395
-259.722,9.44102
-245.515,6.78985
-244.29,5.34868
-242.621,6.51134
-247.745,6.98274
-232.874,7.13126
-251.907,4.43983
-259.506,4.78909
-234.723,4.95239
-268.409,6.57652
-244.073,6.90375
-264.318,6.18754
-272.113,6.35989
-258.985,6.10847
-245.552,6.56794
-262.606,4.41536
-259.557,3.83121
-242.426,7.22677
-251.37,4.53915
-232.455,7.07137
-236.443,4.11504
-243.932,6.40853
-238.015,5.39588
-275.711,8.66817
-232.015,10.0088
-266.897,6.53575
-255.204,6.60176
-275.945,3.90914
-242.623,7.0856
-263.662,4.94448
-277.05,5.93281
-251.916,4.7433
-269.965,6.41764
-276.238,6.41084
-239.518,5.29494
-233.587,6.57023
-243.091,6.89218
-249.701,6.85001
-253.744,5.61514
-247.229,5.66148
-265.89,5.25471
-273.172,7.13107
-235.601,7.63829
-241.002,6.99171
-245.538,5.6088
-278.777,4.16813
-241.285,5.67673
-268.639,4.82621
-274.689,6.2878
-263.341,4.16669
-269.911,5.66158
-273.241,4.30379
-264.935,5.63183
-275.678,6.38397
-251.146,9.00599
-233.163,6.73854
-252.117,6.60556
-243.349,6.96011
-255.82,6.36855
-252.288,9.39085
-270.234,4.35326
-246.616,8.60079
-257.095,7.68957
-249.019,6.4106
-255.419,6.36232
-242.101,7.14619
-242.431,8.26142
-272.298,3.75447
-275.721,9.69874
-272.68,5.9776
-268.683,5.07226
-247.006,4.67636
-253.488,4.87947
-231.336,6.46125
-275.56,6.32899
-249.929,6.91369
-254.091,7.49028
-250.336,6.83292
-250.621,9.12747
-256.798,6.64737
-266.633,5.71533
-269.846,5.01791
-236.816,5.67058
-268.844,6.34992
-240.867,7.61039
-248.724,9.26925
-237.807,6.22229
-266.327,4.25784
-232.904,7.0418
-277.567,4.62991
-237.369,7.02034
-250.767,4.5154
-255.975,4.43392
-278.691,4.09121
-233.243,7.12366
-265.203,6.4838
-269.4,6.07806
-237.806,4.29952
-274.98,4.23551
-274.554,6.02118
-250.108,6.89109
-241.407,7.04973
-239.811,6.23067
-265.069,5.44794
-245.675,4.82192
-277.838,6.35872
-257.758,6.71044
-271.757,4.25763
-271.245,4.13069
-255.361,6.32386
-239.243,7.00836
-278.709,3.602
-243.738,4.28714
-262.839,4.8088
-243.136,6.50159
-232.766,7.14552
-257.166,6.8107
-277.099,8.72186
-244.814,4.39005
-250.536,4.58016
-236.784,4.41251
-273.883,4.24053
-265.014,6.38035
-268.308,5.54918
-266.485,4.19185
-240.4,5.4499
-254.563,6.38262
-268.756,6.47403
-258.227,6.20278
-263.807,6.26606
-240.557,6.31262
-244.47,5.23291
-277.634,6.29338
-274.474,5.92036
-259.445,3.95035
-253.323,6.70991
-231.796,5.0414
-269.138,6.49911
-257.314,4.44682
-257.827,4.32211
-233.909,4.14976
-245.646,6.88246
-270.448,6.02015
-249.174,6.07213
-262.851,6.32281
-245.229,6.70582
-275.652,6.30418
-235.245,7.92721
-273.314,8.57016
-258.517,6.70123
-249.342,6.39576
-265.186,8.13784
-246.879,5.51326
-276.803,6.20647
-236.788,4.7705
-273.914,5.50733
-238.772,8.25527
